dist_name,performance_tier,final_z_standardized,component_rank_spread,assist_status
Bolinas-Stinson Union (Marin),Moderate Overperformer,0.6206152889672936,195.0,General
Bonita Unified (Los Angeles),Significant Overperformer,2.203076477533221,58.0,General
Bonny Doon Union Elementary (Santa Cruz),Expected Performer,0.46959865818081536,594.0,General
Bonsall Unified (San Diego),Expected Performer,0.22866030529975434,387.0,Differentiated
Borrego Springs Unified (San Diego),Moderate Underperformer,-0.6814441095465716,504.0,Differentiated
Bradley Union Elementary (Monterey),Significant Underperformer,-1.7211776341397986,41.0,General
Brawley Elementary (Imperial),Moderate Overperformer,0.7017966824699944,189.0,Differentiated
Brawley Union High (Imperial),Moderate Overperformer,0.9877511435001582,331.0,Differentiated
Brea-Olinda Unified (Orange),Moderate Overperformer,1.220171357639745,205.0,Differentiated
Brentwood Union (Contra Costa),Moderate Underperformer,-1.045789000260602,188.0,Differentiated
Bret Harte Union High (Calaveras),Expected Performer,-0.2741908172090756,792.0,Differentiated
Bridgeville Elementary (Humboldt),Moderate Underperformer,-0.8013089477690682,190.0,Differentiated
Briggs Elementary (Ventura),Moderate Underperformer,-1.0764432428420083,259.0,Differentiated
Brisbane Elementary (San Mateo),Expected Performer,-0.08519704748060314,433.0,General
Brittan Elementary (Sutter),Significant Underperformer,-1.8091084835829585,268.0,General
Buckeye Union Elementary (El Dorado),Moderate Overperformer,0.7357653647924143,355.0,General
Buellton Union Elementary (Santa Barbara),Moderate Overperformer,0.6121223738671192,245.0,Differentiated
Buena Park Elementary (Orange),Moderate Overperformer,0.8117484014051608,333.0,Differentiated
Buena Vista Elementary (Tulare),Expected Performer,-0.3043358767241288,316.0,General
Burbank Unified (Los Angeles),Moderate Overperformer,0.5571462580704252,474.0,Differentiated
Burlingame Elementary (San Mateo),Expected Performer,0.47761975545432195,234.0,Differentiated
Burnt Ranch Elementary (Trinity),Moderate Overperformer,0.9683068254428565,482.0,General
Burrel Union Elementary (Fresno),Expected Performer,0.16692947607149733,625.0,General
Burton Elementary (Tulare),Moderate Underperformer,-0.6263558946974831,434.0,Differentiated
Butte Valley Unified (Siskiyou),Moderate Underperformer,-1.1162676070274442,253.0,General
Butteville Union Elementary (Siskiyou),Expected Performer,-0.19333203259303935,379.0,General
Buttonwillow Union Elementary (Kern),Expected Performer,0.009162332952775824,439.0,General
Byron Union Elementary (Contra Costa),Moderate Underperformer,-0.7903406731190344,421.0,Differentiated
Cabrillo Unified (San Mateo),Significant Underperformer,-1.8873145050757754,16.0,Differentiated
Cajon Valley Union (San Diego),Moderate Underperformer,-0.6957469788587695,93.0,Differentiated
Calaveras Unified (Calaveras),Moderate Underperformer,-1.4018756452196672,119.0,Differentiated
Calexico Unified (Imperial),Expected Performer,0.05581911832564621,268.0,Differentiated
Caliente Union Elementary (Kern),Moderate Underperformer,-1.102966197025371,137.0,General
Calipatria Unified (Imperial),Moderate Overperformer,0.9901401079315993,223.0,Differentiated
Calistoga Joint Unified (Napa),Expected Performer,0.08556608300700468,426.0,Differentiated
Cambrian (Santa Clara),Moderate Overperformer,0.8590025412487148,112.0,General
Camino Union Elementary (El Dorado),Expected Performer,0.34421042621869424,125.0,Differentiated
Campbell Union (Santa Clara),Moderate Underperformer,-0.9224878846018433,0.0,General
Campbell Union High (Santa Clara),Expected Performer,0.20092602311718724,301.0,General
Camptonville Elementary (Yuba),Expected Performer,0.17025526863766452,363.0,General
Canyon Elementary (Contra Costa),Significant Underperformer,-1.7581174464555847,0.0,General
Capay Joint Union Elementary (Glenn),Expected Performer,-0.4774429079239256,425.0,General
Capistrano Unified (Orange),Moderate Overperformer,1.2641409691017063,139.0,Differentiated
Cardiff Elementary (San Diego),Moderate Overperformer,0.647357647218803,153.0,General
