dist_name,performance_tier,final_z_standardized,component_rank_spread,assist_status
"Igo, Ono, Platina Union Elementary (Shasta)",Expected Performer,-0.20527250173826658,362.0,General
Imperial Unified (Imperial),Moderate Overperformer,1.1111882221454077,246.0,Differentiated
Inglewood Unified (Los Angeles),Expected Performer,-0.49447611616345155,170.0,Differentiated
Irvine Unified (Orange),Moderate Overperformer,1.2254868321594106,368.0,Differentiated
Jacoby Creek Elementary (Humboldt),Significant Overperformer,2.4032865980246774,10.0,General
Jamestown Elementary (Tuolumne),Expected Performer,0.12244835428821206,454.0,Differentiated
Jamul-Dulzura Union Elementary (San Diego),Moderate Underperformer,-1.1761712541808211,199.0,General
Janesville Union Elementary (Lassen),Expected Performer,0.343087088808387,121.0,Differentiated
Jefferson Union High (San Mateo),Moderate Underperformer,-1.0889616127666912,462.0,General
John Swett Unified (Contra Costa),Moderate Underperformer,-0.6457555206619012,538.0,Differentiated
Johnstonville Elementary (Lassen),Expected Performer,-0.40211357956906174,105.0,General
Julian Union Elementary (San Diego),Expected Performer,0.236601381802038,231.0,Differentiated
Julian Union High (San Diego),Expected Performer,0.3619000944936937,443.0,General
Junction City Elementary (Trinity),Moderate Overperformer,1.0476289539024704,463.0,General
Junction Elementary (Shasta),Moderate Overperformer,0.5889813978491576,431.0,General
Junction Elementary (Siskiyou),Moderate Overperformer,0.9996704894704879,387.0,General
Jurupa Unified (Riverside),Moderate Underperformer,-1.2890244879281723,188.0,Differentiated
Kelseyville Unified (Lake),Significant Underperformer,-1.5892519351299161,56.0,Differentiated
Kentfield Elementary (Marin),Moderate Overperformer,0.5660535597412092,356.0,Differentiated
Kenwood (Sonoma),Expected Performer,-0.06921706162713863,109.0,General
Keppel Union Elementary (Los Angeles),Significant Underperformer,-2.1128559994049905,143.0,Differentiated
Kerman Unified (Fresno),Expected Performer,0.25170896715731544,122.0,Differentiated
Kern High (Kern),Expected Performer,0.024419403969366538,563.0,Differentiated
Kernville Union Elementary (Kern),Expected Performer,-0.19992864392532247,207.0,Differentiated
Keyes Union (Stanislaus),Expected Performer,0.06920031756835977,190.0,Differentiated
King City Union (Monterey),Expected Performer,-0.40091951904557477,245.0,Differentiated
Kings Canyon Joint Unified (Fresno),Significant Overperformer,2.296786741806133,30.0,Differentiated
Kings River Union Elementary (Tulare),Expected Performer,0.287828743020822,167.0,General
Kingsburg Joint Union High (Fresno),Moderate Overperformer,1.466921608942918,328.0,Differentiated
Kirkwood Elementary (Tehama),Significant Underperformer,-1.539810295317494,62.0,General
Kit Carson Union Elementary (Kings),Expected Performer,0.3625414453200806,518.0,Differentiated
Klamath-Trinity Joint Unified (Humboldt),Moderate Underperformer,-1.0724349021671122,165.0,Differentiated
Knights Ferry Elementary (Stanislaus),Moderate Overperformer,0.57210847238506,412.0,General
Knightsen Elementary (Contra Costa),Significant Underperformer,-1.6175090736703772,101.0,General
Konocti Unified (Lake),Moderate Underperformer,-1.2725604596221547,127.0,Differentiated
La Canada Unified (Los Angeles),Moderate Overperformer,1.2332848849057327,274.0,General
La Habra City Elementary (Orange),Expected Performer,0.38356349254501865,176.0,Differentiated
La Honda-Pescadero Unified (San Mateo),Moderate Underperformer,-0.7151322653195984,706.0,General
La Mesa-Spring Valley (San Diego),Expected Performer,0.2588338266531475,249.0,Differentiated
Lafayette Elementary (Contra Costa),Expected Performer,0.0344428455443924,356.0,General
Laguna Beach Unified (Orange),Moderate Overperformer,1.2320422698264815,258.0,General
Lagunita Elementary (Monterey),Significant Underperformer,-2.097548551567312,47.0,General
Lagunitas Elementary (Marin),Expected Performer,0.02295809168034706,360.0,General
Lake Elementary (Glenn),Significant Overperformer,1.543991924950232,93.0,General
Lake Elsinore Unified (Riverside),Moderate Underperformer,-0.7860373193791079,218.0,Differentiated
Lake Tahoe Unified (El Dorado),Expected Performer,-0.40969350383549535,331.0,Differentiated
Lakeport Unified (Lake),Moderate Underperformer,-1.4830428806754894,256.0,Differentiated
Lakeside Joint (Santa Clara),Moderate Overperformer,0.6626178411782193,427.0,General
Lakeside Union (Kern),Moderate Underperformer,-1.1178506716077532,183.0,Differentiated
Lakeside Union Elementary (Kings),Expected Performer,0.453251930951872,411.0,Differentiated
Lakeside Union Elementary (San Diego),Expected Performer,0.18341526932786203,358.0,Differentiated
Lammersville Joint Unified (San Joaquin),Expected Performer,-0.06899414178816322,265.0,Differentiated
Lamont Elementary (Kern),Moderate Underperformer,-0.5707714957452533,321.0,Differentiated
Lancaster Elementary (Los Angeles),Significant Underperformer,-1.9677971459144523,183.0,Differentiated
Larkspur-Corte Madera (Marin),Expected Performer,-0.1268355649436201,241.0,Differentiated
Las Lomitas Elementary (San Mateo),Moderate Overperformer,1.3019769694526488,67.0,General
Las Virgenes Unified (Los Angeles),Expected Performer,-0.1454023764898197,337.0,General
Lassen Union High (Lassen),Moderate Underperformer,-0.5057516041055972,643.0,Differentiated
Lassen View Union Elementary (Tehama),Significant Overperformer,1.8637960721791424,21.0,General
Laton Joint Unified (Fresno),Expected Performer,-0.13168593061761558,425.0,Differentiated
Latrobe (El Dorado),Moderate Overperformer,1.4021402913654584,57.0,General
Lawndale Elementary (Los Angeles),Moderate Overperformer,0.8617947028093728,131.0,Differentiated
Laytonville Unified (Mendocino),Moderate Overperformer,0.538887001265167,285.0,Differentiated
Le Grand Union Elementary (Merced),Moderate Overperformer,0.8332481235584778,219.0,General
Le Grand Union High (Merced),Moderate Overperformer,0.8635215443400687,460.0,General
Leggett Valley Unified (Mendocino),Expected Performer,0.21525668937033035,392.0,General
Lemon Grove (San Diego),Expected Performer,0.1533268641503947,208.0,Differentiated
Lemoore Union Elementary (Kings),Moderate Overperformer,1.256619214993457,113.0,Differentiated
Lemoore Union High (Kings),Moderate Overperformer,0.93549534416331,645.0,Differentiated
Lennox (Los Angeles),Moderate Overperformer,0.6568915388268679,136.0,General
Lewiston Elementary (Trinity),Expected Performer,-0.10496892965718777,138.0,General
Liberty Elementary (Tulare),Moderate Overperformer,0.5476907330263378,379.0,General
Liberty Elementary (Sonoma),Moderate Overperformer,0.5630118650037952,309.0,General
Liberty Union High (Contra Costa),Moderate Underperformer,-1.4984805678735422,488.0,Differentiated
Lincoln Unified (San Joaquin),Expected Performer,-0.029069139528606663,178.0,Differentiated
Linden Unified (San Joaquin),Expected Performer,0.047198623900190854,345.0,Differentiated
Lindsay Unified (Tulare),Moderate Overperformer,0.8541300816939849,119.0,Differentiated
Little Lake City Elementary (Los Angeles),Significant Overperformer,1.52731200511334,173.0,Differentiated
Live Oak Elementary (Santa Cruz),Expected Performer,-0.13529790278898082,229.0,Differentiated
Live Oak Unified (Sutter),Significant Overperformer,1.5674302281250367,143.0,Differentiated
Livermore Valley Joint Unified (Alameda),Expected Performer,-0.3116324917711809,271.0,Differentiated
Livingston Union (Merced),Expected Performer,-0.3098174006025191,284.0,General
Lodi Unified (San Joaquin),Expected Performer,0.16233777042812178,406.0,Differentiated
Loleta Union Elementary (Humboldt),Moderate Underperformer,-0.8217142335338182,446.0,Differentiated
Loma Prieta Joint Union Elementary (Santa Clara),Moderate Overperformer,1.4722107756867258,158.0,Differentiated
Lompoc Unified (Santa Barbara),Moderate Underperformer,-0.9971319337093967,155.0,Differentiated
Lone Pine Unified (Inyo),Expected Performer,0.3960097541474058,274.0,Differentiated
Long Beach Unified (Los Angeles),Moderate Overperformer,0.9766909105771928,258.0,Differentiated
Loomis Union Elementary (Placer),Expected Performer,0.3695570578579039,466.0,General
Los Alamitos Unified (Orange),Significant Overperformer,2.1104920238599196,198.0,General
Los Altos Elementary (Santa Clara),Significant Overperformer,1.533057326497831,146.0,General
Los Angeles Unified (Los Angeles),Moderate Overperformer,0.5693699062987178,572.0,Differentiated
Los Banos Unified (Merced),Moderate Underperformer,-0.5847883611582491,252.0,Differentiated
Los Gatos Union Elementary (Santa Clara),Expected Performer,-0.21797145551250124,186.0,General
Los Gatos-Saratoga Union High (Santa Clara),Expected Performer,-0.1930798148483229,498.0,General
Los Molinos Unified (Tehama),Moderate Overperformer,1.0614151436295733,230.0,General
Los Nietos (Los Angeles),Moderate Overperformer,1.0929150459531778,292.0,Differentiated
Los Olivos Elementary (Santa Barbara),Expected Performer,-0.08592288598066754,343.0,Differentiated
Lost Hills Union Elementary (Kern),Significant Overperformer,1.5628552581447166,106.0,Differentiated
Lowell Joint (Orange),Moderate Overperformer,0.9264155051942301,211.0,Differentiated
Lucerne Elementary (Lake),Moderate Underperformer,-0.8475363961313561,390.0,General
Lucerne Valley Unified (San Bernardino),Moderate Underperformer,-1.1472423959285363,283.0,Differentiated
Lucia Mar Unified (San Luis Obispo),Expected Performer,0.39412323681525324,225.0,Differentiated
Luther Burbank (Santa Clara),Moderate Underperformer,-0.7273660531747848,151.0,Differentiated
Lynwood Unified (Los Angeles),Expected Performer,0.46270277057062004,220.0,Differentiated
Madera Unified (Madera),Moderate Underperformer,-0.7516126248723953,163.0,Differentiated
Magnolia Elementary (Orange),Significant Overperformer,1.575604031685066,174.0,Differentiated
Magnolia Union Elementary (Imperial),Moderate Underperformer,-0.8515066875116165,664.0,General
Mammoth Unified (Mono),Expected Performer,-0.3290086819952137,227.0,Differentiated
Manchester Union Elementary (Mendocino),Significant Underperformer,-2.066740907545926,60.0,General
Manhattan Beach Unified (Los Angeles),Moderate Overperformer,0.6871299983230822,71.0,General
Manteca Unified (San Joaquin),Moderate Underperformer,-1.0237435069188876,186.0,Differentiated
Manzanita Elementary (Butte),Moderate Overperformer,1.1266192994361568,194.0,General
Maple Elementary (Kern),Moderate Overperformer,1.3316745977185434,127.0,General
Marcum-Illinois Union Elementary (Sutter),Significant Overperformer,1.5665583683349011,24.0,General
Maricopa Unified (Kern),Moderate Underperformer,-1.1663797413244377,282.0,Differentiated
Mariposa County Unified (Mariposa),Expected Performer,-0.4630279808684843,210.0,Differentiated
Mark Twain Union Elementary (Calaveras),Moderate Underperformer,-0.7989802506582592,181.0,Differentiated
Mark West Union Elementary (Sonoma),Expected Performer,-0.18116450637519424,354.0,Differentiated
Martinez Unified (Contra Costa),Expected Performer,-0.46386422011167255,335.0,General
Marysville Joint Unified (Yuba),Expected Performer,-0.3580041276078195,143.0,Differentiated
Mattole Unified (Humboldt),Moderate Overperformer,1.2701802567266305,393.0,General
Maxwell Unified (Colusa),Expected Performer,0.31977142145495374,273.0,Differentiated
McCabe Union Elementary (Imperial),Moderate Overperformer,1.3318429735539423,228.0,Differentiated
McCloud Union Elementary (Siskiyou),Moderate Underperformer,-0.5392185687970117,433.0,General
McFarland Unified (Kern),Moderate Overperformer,0.9252735286352397,132.0,Differentiated
McKinleyville Union Elementary (Humboldt),Expected Performer,0.126259056327078,414.0,Differentiated
McKittrick Elementary (Kern),Expected Performer,-0.2636716630900228,516.0,General
McSwain Union Elementary (Merced),Expected Performer,-0.3284513765458653,308.0,General
Meadows Union (Imperial),Moderate Overperformer,0.5151641512237205,348.0,Differentiated
Mendocino Unified (Mendocino),Moderate Overperformer,1.233661387088607,62.0,General
Mendota Unified (Fresno),Moderate Overperformer,0.5616284158369251,130.0,Differentiated
Menifee Union (Riverside),Expected Performer,0.011715827953214103,391.0,Differentiated
Menlo Park City Elementary (San Mateo),Expected Performer,0.10722913551978269,376.0,General
Merced City Elementary (Merced),Expected Performer,-0.23788840045333903,332.0,Differentiated
Merced River Union Elementary (Merced),Expected Performer,0.25109558477476757,635.0,General
Merced Union High (Merced),Expected Performer,-0.3974788996492306,482.0,Differentiated
Meridian Elementary (Sutter),Moderate Underperformer,-1.0428250875409748,184.0,General
Mesa Union Elementary (Ventura),Significant Underperformer,-1.616383226998285,164.0,General
Middletown Unified (Lake),Expected Performer,0.09415177544425699,159.0,Differentiated
Midway Elementary (Kern),Expected Performer,-0.20179727955176852,516.0,General
Mill Valley Elementary (Marin),Expected Performer,0.171280959255322,227.0,Differentiated
Millbrae Elementary (San Mateo),Expected Performer,0.2943746803323628,297.0,Differentiated
Miller Creek Elementary (Marin),Expected Performer,0.025453620344622854,426.0,Differentiated
Millville Elementary (Shasta),Moderate Overperformer,1.2022325637228948,229.0,General
Milpitas Unified (Santa Clara),Expected Performer,0.4286639238402805,282.0,Differentiated
Mission Union Elementary (Monterey),Expected Performer,0.1378369447953101,706.0,General
Modesto City Elementary (Stanislaus),Expected Performer,-0.39129608768762025,269.0,Differentiated
Modesto City High (Stanislaus),Expected Performer,-0.3764650436860701,375.0,Differentiated
Modoc Joint Unified (Modoc),Expected Performer,-0.2838925685258316,135.0,Differentiated
Mojave Unified (Kern),Significant Underperformer,-1.6538981365170191,183.0,Differentiated
Monrovia Unified (Los Angeles),Moderate Overperformer,0.7558910304580789,117.0,Differentiated
Monson-Sultana Joint Union Elementary (Tulare),Significant Overperformer,1.817247902898477,364.0,Differentiated
Montague Elementary (Siskiyou),Expected Performer,0.3842811389173896,221.0,General
Monte Rio Union Elementary (Sonoma),Expected Performer,-0.4165586687593732,505.0,Differentiated
Montebello Unified (Los Angeles),Expected Performer,0.4194269349456294,177.0,Differentiated
Montecito Union Elementary (Santa Barbara),Moderate Overperformer,0.613096848294812,258.0,General
Monterey Peninsula Unified (Monterey),Expected Performer,-0.21893921804233743,90.0,Differentiated
Moorpark Unified (Ventura),Expected Performer,-0.44465622701732027,263.0,Differentiated
Moraga Elementary (Contra Costa),Expected Performer,-0.09488353199232011,180.0,General
Moreland (Santa Clara),Expected Performer,0.41963298747187333,274.0,General
Moreno Valley Unified (Riverside),Moderate Underperformer,-0.9111295064270338,188.0,Differentiated
Morgan Hill Unified (Santa Clara),Significant Underperformer,-2.0224001699885843,50.0,Differentiated
Morongo Unified (San Bernardino),Expected Performer,-0.2888014969924235,121.0,Differentiated
Mother Lode Union Elementary (El Dorado),Moderate Underperformer,-0.6929027108277984,197.0,Differentiated
Mount Pleasant Elementary (Santa Clara),Moderate Underperformer,-0.9473895541469795,203.0,Differentiated
Mountain Elementary (Santa Cruz),Expected Performer,0.25543126820949286,209.0,General
Mountain Empire Unified (San Diego),Significant Underperformer,-1.8561677458098227,78.0,Differentiated
Mountain Union Elementary (Shasta),Expected Performer,-0.041120276878371394,680.0,Differentiated
Mountain Valley Unified (Trinity),Significant Overperformer,2.4032865980246774,21.0,General
Mountain View Elementary (Los Angeles),Moderate Underperformer,-1.0525855015569046,129.0,Differentiated
Mountain View Elementary (San Bernardino),Moderate Underperformer,-1.2115868197782642,268.0,Differentiated
Mountain View Whisman (Santa Clara),Expected Performer,0.15559267599057924,334.0,Differentiated
Mountain View-Los Altos Union High (Santa Clara),Moderate Overperformer,0.5102808783726617,453.0,Differentiated
Mt. Diablo Unified (Contra Costa),Moderate Underperformer,-1.0650405626590687,172.0,Differentiated
Mt. Shasta Union Elementary (Siskiyou),Moderate Underperformer,-1.1886500186101883,686.0,General
Mulberry Elementary (Imperial),Expected Performer,-0.3827142034392219,360.0,General
Mupu Elementary (Ventura),Expected Performer,-0.4755731756040194,397.0,General
Muroc Joint Unified (Kern),Significant Underperformer,-1.9023906607827323,322.0,Differentiated
Murrieta Valley Unified (Riverside),Moderate Overperformer,1.460075456980579,165.0,Differentiated
Napa Valley Unified (Napa),Moderate Underperformer,-1.0519948593117714,208.0,Differentiated
National Elementary (San Diego),Expected Performer,0.29031094570809046,276.0,General
Natomas Unified (Sacramento),Significant Underperformer,-1.9049642195935246,90.0,Differentiated
Needles Unified (San Bernardino),Expected Performer,-0.13151683088732505,225.0,Differentiated
Nevada City Elementary (Nevada),Expected Performer,0.16812002374912466,688.0,Differentiated
Nevada Joint Union High (Nevada),Moderate Overperformer,0.5516402353773545,401.0,Differentiated
New Haven Unified (Alameda),Moderate Underperformer,-0.7380672718252637,167.0,Differentiated
New Hope Elementary (San Joaquin),Expected Performer,0.39885836172546646,399.0,General
Newark Unified (Alameda),Moderate Underperformer,-0.9438923186450249,319.0,Differentiated
Newcastle Elementary (Placer),Expected Performer,0.31861049904486083,105.0,General
Newhall (Los Angeles),Significant Overperformer,1.853699373449213,60.0,General
Newman-Crows Landing Unified (Stanislaus),Expected Performer,-0.3035845919288068,299.0,Differentiated
Newport-Mesa Unified (Orange),Moderate Overperformer,1.0794668956357703,98.0,Differentiated
Nicasio (Marin),Moderate Underperformer,-1.0336350985112712,212.0,General
Norris Elementary (Kern),Expected Performer,-0.16189211545799068,392.0,General
North County Joint Union Elementary (San Benito),Expected Performer,0.4984817001697392,156.0,General
North Cow Creek Elementary (Shasta),Expected Performer,0.04964850697335771,517.0,General
North Monterey County Unified (Monterey),Significant Underperformer,-1.7109725150458304,211.0,Differentiated
Northern Humboldt Union High (Humboldt),Moderate Overperformer,0.6739657413461109,416.0,Differentiated
Novato Unified (Marin),Moderate Underperformer,-0.6748913907993446,327.0,Differentiated
Nuestro Elementary (Sutter),Moderate Underperformer,-0.6172512249377838,380.0,General
Nuview Union (Riverside),Expected Performer,-0.2938499665688622,250.0,Differentiated
Oak Grove Elementary (Santa Clara),Moderate Underperformer,-0.6467455326815355,402.0,General
Oak Park Unified (Ventura),Expected Performer,0.4454501183336322,371.0,General
Oak Valley Union Elementary (Tulare),Moderate Overperformer,1.2316657031332763,112.0,General
Oak View Union Elementary (San Joaquin),Significant Overperformer,1.550875483283223,209.0,Differentiated
Oakdale Joint Unified (Stanislaus),Expected Performer,0.10624540880548163,240.0,Differentiated
Oakland Unified (Alameda),Moderate Underperformer,-0.6853023941946567,223.0,Differentiated
Oakley Union Elementary (Contra Costa),Significant Underperformer,-2.1128559994049905,27.0,Differentiated
Ocean View (Orange),Moderate Overperformer,1.3372811619461367,125.0,Differentiated
Ocean View (Ventura),Significant Overperformer,1.5133841724403299,253.0,Differentiated
Oceanside Unified (San Diego),Expected Performer,-0.04303442615762536,207.0,Differentiated
Ojai Unified (Ventura),Moderate Underperformer,-0.7680271949730415,278.0,Differentiated
Old Adobe Union (Sonoma),Expected Performer,0.006516069307691452,471.0,Differentiated
Ontario-Montclair (San Bernardino),Moderate Overperformer,1.0451254242975123,185.0,General
Orange Center (Fresno),Moderate Overperformer,1.1124586103529597,294.0,Differentiated
Orange Unified (Orange),Expected Performer,0.456828414367734,116.0,Differentiated
Orchard Elementary (Santa Clara),Moderate Underperformer,-0.8473208174367495,104.0,Differentiated
Orcutt Union Elementary (Santa Barbara),Moderate Underperformer,-0.5809070147122726,301.0,Differentiated
Orinda Union (Contra Costa),Moderate Overperformer,0.8944805182243788,231.0,General
Orland Joint Unified (Glenn),Moderate Underperformer,-0.7537927094709558,190.0,Differentiated
Oro Grande (San Bernardino),Moderate Underperformer,-1.3206124835053377,335.0,General
Oroville City Elementary (Butte),Moderate Underperformer,-0.6897291911953273,105.0,Differentiated
Oroville Union High (Butte),Moderate Underperformer,-0.5165138145597932,453.0,Differentiated
Outside Creek Elementary (Tulare),Moderate Overperformer,1.1806071824587245,118.0,General
Owens Valley Unified (Inyo),Moderate Underperformer,-1.3857648369711582,106.0,General
Oxnard (Ventura),Moderate Underperformer,-0.9992995257792258,334.0,General
Oxnard Union High (Ventura),Moderate Underperformer,-1.2700394362332272,335.0,Differentiated
Pacheco Union Elementary (Shasta),Expected Performer,0.11331716893537021,197.0,Differentiated
Pacific Elementary (Santa Cruz),Moderate Overperformer,1.1877097701943682,311.0,General
Pacific Grove Unified (Monterey),Moderate Overperformer,0.6792136007250167,167.0,General
Pacific Union Elementary (Humboldt),Significant Overperformer,1.737384042128797,49.0,Differentiated
Pacific Union Elementary (Fresno),Significant Overperformer,1.869859414878041,76.0,Differentiated
Pacifica (San Mateo),Moderate Underperformer,-0.934983772453184,274.0,Differentiated
Pajaro Valley Unified (Santa Cruz),Significant Underperformer,-1.95314069847348,143.0,Differentiated
Palermo Union Elementary (Butte),Moderate Overperformer,0.5989609860873047,187.0,Differentiated
Palm Springs Unified (Riverside),Moderate Underperformer,-0.8226962508399273,158.0,Differentiated
Palmdale Elementary (Los Angeles),Significant Underperformer,-1.6619798463808035,279.0,Differentiated
Palo Alto Unified (Santa Clara),Moderate Overperformer,1.0729424652504416,245.0,General
Palo Verde Unified (Riverside),Moderate Underperformer,-0.6546417865256359,61.0,Differentiated
Palo Verde Union Elementary (Tulare),Moderate Overperformer,0.8254283995764691,193.0,General
Palos Verdes Peninsula Unified (Los Angeles),Moderate Overperformer,0.8155724875847332,132.0,General
Panama-Buena Vista Union (Kern),Expected Performer,0.0641124878958464,267.0,Differentiated
Paradise Elementary (Stanislaus),Expected Performer,0.1163700178843186,642.0,General
Paradise Unified (Butte),Expected Performer,-0.12037478789135839,319.0,Differentiated
Paramount Unified (Los Angeles),Moderate Overperformer,0.7643811824004375,266.0,General
Parlier Unified (Fresno),Expected Performer,0.08661563656062911,292.0,Differentiated
Pasadena Unified (Los Angeles),Expected Performer,0.46579392537723613,229.0,Differentiated
Paso Robles Joint Unified (San Luis Obispo),Expected Performer,-0.13821776537371097,268.0,Differentiated
Patterson Joint Unified (Stanislaus),Expected Performer,-0.3362015404682722,464.0,Differentiated
Peninsula Union (Humboldt),Expected Performer,0.071937242879872,219.0,Differentiated
Penn Valley Union Elementary (Nevada),Moderate Overperformer,0.850914216559781,116.0,General
Perris Elementary (Riverside),Moderate Underperformer,-0.8910354534790184,161.0,Differentiated
Perris Union High (Riverside),Moderate Underperformer,-0.8020551493293936,408.0,Differentiated
Petaluma City Elementary (Sonoma),Expected Performer,-0.22518935739041973,415.0,Differentiated
Petaluma Joint Union High (Sonoma),Expected Performer,-0.24724079146893962,273.0,Differentiated
Piedmont City Unified (Alameda),Moderate Overperformer,1.2000916290529704,237.0,General
Pierce Joint Unified (Colusa),Expected Performer,0.33057822282894395,102.0,Differentiated
Pine Ridge Elementary (Fresno),Expected Performer,-0.2210852514170208,419.0,General
Piner-Olivet Union Elementary (Sonoma),Expected Performer,-0.3153486032570388,221.0,Differentiated
Pioneer Union (El Dorado),Moderate Underperformer,-0.8962132806792477,86.0,Differentiated
Pittsburg Unified (Contra Costa),Significant Underperformer,-1.684256437733021,134.0,Differentiated
Pixley Union Elementary (Tulare),Expected Performer,-0.19807307944510077,355.0,Differentiated
Placentia-Yorba Linda Unified (Orange),Moderate Overperformer,1.1430860155216584,64.0,General
Placer Hills Union Elementary (Placer),Expected Performer,0.06833520748004715,506.0,General
Placer Union High (Placer),Expected Performer,0.2598947672550008,546.0,Differentiated
Placerville Union Elementary (El Dorado),Expected Performer,-0.1119295620343215,157.0,Differentiated
Plainsburg Union Elementary (Merced),Expected Performer,0.3232474135611003,377.0,General
Planada Elementary (Merced),Moderate Overperformer,1.0298419018917506,146.0,Differentiated
Plaza Elementary (Glenn),Significant Overperformer,1.6794130147852204,99.0,General
Pleasant Grove Joint Union (Sutter),Expected Performer,-0.2405846520091317,239.0,General
Pleasant Ridge Union Elementary (Nevada),Expected Performer,0.03681003209138692,344.0,Differentiated
Pleasant Valley (Ventura),Expected Performer,0.24456308804205745,181.0,Differentiated
Pleasant Valley Joint Union Elementary (San Luis Obispo),Moderate Underperformer,-1.0341168128675813,257.0,General
Pleasant View Elementary (Tulare),Moderate Underperformer,-1.35726669908031,292.0,Differentiated
Pleasanton Unified (Alameda),Expected Performer,0.379451302330531,286.0,Differentiated
Plumas Lake Elementary (Yuba),Expected Performer,-0.0580124817538212,176.0,General
Plumas Unified (Plumas),Expected Performer,-0.45828812631214266,197.0,Differentiated
Point Arena Joint Union High (Mendocino),Significant Underperformer,-2.1128559994049905,12.0,General
Pollock Pines Elementary (El Dorado),Moderate Underperformer,-0.8122421448961704,128.0,Differentiated
Pomona Unified (Los Angeles),Expected Performer,0.09858806798654896,121.0,Differentiated
Pond Union Elementary (Kern),Expected Performer,-0.12120867309910528,503.0,General
Pope Valley Union Elementary (Napa),Significant Underperformer,-1.6299595082877303,32.0,General
Porterville Unified (Tulare),Expected Performer,0.46390446475122,150.0,Differentiated
Portola Valley Elementary (San Mateo),Moderate Overperformer,0.9691782177233039,194.0,General
Potter Valley Community Unified (Mendocino),Moderate Underperformer,-1.0654411200642546,378.0,Differentiated
Poway Unified (San Diego),Moderate Overperformer,0.6011188892486143,312.0,General
Princeton Joint Unified (Glenn),Moderate Underperformer,-0.6119351111106575,455.0,General
Raisin City Elementary (Fresno),Expected Performer,0.3940291619818929,482.0,General
Ramona City Unified (San Diego),Moderate Underperformer,-0.7315030206335604,299.0,Differentiated
Rancho Santa Fe Elementary (San Diego),Moderate Overperformer,0.798372833031332,193.0,General
Ravenswood City Elementary (San Mateo),Moderate Underperformer,-1.4004885514947731,20.0,Differentiated
Raymond-Knowles Union Elementary (Madera),Expected Performer,-0.39328252436110545,297.0,Differentiated
Red Bluff Joint Union High (Tehama),Expected Performer,0.33475253989922815,357.0,Differentiated
Red Bluff Union Elementary (Tehama),Moderate Underperformer,-0.7286453956241706,266.0,Differentiated
Redding Elementary (Shasta),Moderate Overperformer,0.6855407480837302,184.0,Differentiated
Redlands Unified (San Bernardino),Expected Performer,0.03760140103244424,108.0,Differentiated
Redondo Beach Unified (Los Angeles),Expected Performer,0.44385035997992695,537.0,General
Redwood City Elementary (San Mateo),Expected Performer,-0.2222776333791184,518.0,Differentiated
Reed Union Elementary (Marin),Expected Performer,-0.1605709128203419,323.0,General
Reeds Creek Elementary (Tehama),Significant Underperformer,-1.71020376873331,60.0,General
Reef-Sunset Unified (Kings),Moderate Underperformer,-0.8468737447187102,279.0,Differentiated
Rescue Union Elementary (El Dorado),Expected Performer,0.4876789608743431,403.0,General
Rialto Unified (San Bernardino),Expected Performer,-0.42924551283311857,411.0,Differentiated
Richfield Elementary (Tehama),Moderate Overperformer,0.5637162256603228,181.0,General
Richgrove Elementary (Tulare),Expected Performer,-0.39586101764765336,332.0,General
Richland Union Elementary (Kern),Expected Performer,0.008944066623819967,191.0,Differentiated
Richmond Elementary (Lassen),Moderate Underperformer,-0.5286368763514828,433.0,General
Rim of the World Unified (San Bernardino),Moderate Underperformer,-1.0595726128657421,173.0,Differentiated
Rincon Valley Union Elementary (Sonoma),Moderate Overperformer,0.5326179926044917,243.0,General
Rio Bravo-Greeley Union Elementary (Kern),Expected Performer,0.16145155001916706,411.0,General
Rio Dell Elementary (Humboldt),Significant Overperformer,2.2572045214467744,142.0,General
Rio Elementary (Ventura),Moderate Underperformer,-1.202155476692836,310.0,Differentiated
Ripon Unified (San Joaquin),Moderate Overperformer,1.188159615668195,93.0,General
River Delta Joint Unified (Sacramento),Moderate Underperformer,-1.280462666410745,61.0,Differentiated
Riverbank Unified (Stanislaus),Moderate Underperformer,-1.097819221716148,91.0,Differentiated
Riverdale Joint Unified (Fresno),Moderate Overperformer,0.6026640514514493,317.0,Differentiated
Riverside Unified (Riverside),Expected Performer,-0.17132888528249082,250.0,Differentiated
Robla Elementary (Sacramento),Moderate Underperformer,-0.5177341621683218,404.0,Differentiated
Rockford Elementary (Tulare),Expected Performer,-0.3051461752491773,432.0,General
Rocklin Unified (Placer),Moderate Overperformer,0.6568591502624256,415.0,Differentiated
Romoland Elementary (Riverside),Moderate Underperformer,-0.8379862468714779,211.0,Differentiated
Rosedale Union Elementary (Kern),Expected Performer,-0.393965803679874,343.0,Differentiated
Roseland (Sonoma),Expected Performer,-0.031888154482662995,444.0,General
Rosemead Elementary (Los Angeles),Significant Overperformer,2.353063200377194,47.0,General
Roseville City (Placer),Expected Performer,0.1780144205169324,305.0,Differentiated
Roseville Joint Union High (Placer),Expected Performer,-0.021178174555040077,551.0,Differentiated
Ross Elementary (Marin),Moderate Overperformer,0.5791407873293483,144.0,General
Ross Valley Elementary (Marin),Expected Performer,0.2367894527728319,444.0,Differentiated
Round Valley Joint Elementary (Inyo),Expected Performer,-0.1323156677721475,281.0,General
Round Valley Unified (Mendocino),Moderate Underperformer,-1.0407857440893602,289.0,Differentiated
Rowland Unified (Los Angeles),Moderate Overperformer,1.0206252391615105,216.0,Differentiated
