Locale,Districts,Min weight,Median weight,Mean weight,Max weight,Median PC1 SE,Mean PC1 SE
City,141,0.1524,0.8568,0.8051,0.9927,0.0721,0.0725
Rural,324,0.4101,0.8592,0.8114,0.9929,0.0722,0.0728
Suburb,269,0.1237,0.8565,0.7967,0.9847,0.0722,0.0725
Town,145,0.1634,0.8528,0.8015,0.9712,0.0724,0.0731
