District Name,County Name (District),District Type (District),All Charter Schools (Y/N) (District),Grade Span (District),Zip (District),City (District),Census Day Enrollment (District),English Learners % (District),American Indian or Alaska Native % (District),Asian % (District),Black or African American % (District),Filipino % (District),Hispanic or Latino % (District),Native Hawaiian or Pac Islander % (District),Two or More Races % (District),None Reported % (District),White % (District),Free/Reduced Meals % (District),Fluent English Proficient (FEP) % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Cohort Grads by Socio. Econ. DisAdvtg % (District),Student/Teacher Ratio (District),1st Year Teachers (District),Experienced Teachers (District),Teacher Service Days (District),Teaching Days (District),Inexperienced Teachers (District),Avg Years Teaching (District),Suspension Rate (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)
SBE - Latitude 37.8 High (Alameda),Alameda,State Board of Education Charter,No,09-12,94601,"""Oakland                       """,389,25.7,0,3.9,13.1,0.5,71.2,0,3.6,0,7.7,70.4,38.05,32,93.1,95.3,15,8,17,N/A,N/A,10,5,3.2,22.9,23.38,54.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Magnolia Science Academy Santa Ana (Orange),Orange,State Board of Education Charter,No,K-12,92703,"""Santa Ana                     """,524,26.1,1,2.7,1.3,0,81.1,0,0.2,0,13.7,79.8,40.65,21,94.7,100,16.2,3,31,N/A,N/A,4,12,2,15.7,42.11,49.82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - New West Charter (Los Angeles),Los Angeles,State Board of Education Charter,No,06-12,90025,"""Los Angeles                   """,980,2.3,0.1,8.5,4.5,0.9,22.2,0.1,9.1,1.9,52.7,18.5,15.2,48,97.9,100,17.6,3,45,N/A,N/A,12,6,1.3,12.7,44.19,73.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Olive Grove Charter - Buellton (Santa Barbara),Santa Barbara,State Board of Education Charter,No,K-12,93427,"""Buellton                      """,34,8.8,0,0,0,0,47.1,0,11.8,0,41.2,50,20.59,43,redacted,redacted,11.2,0,18,N/A,N/A,3,14,0,14.3,25,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Olive Grove Charter - Lompoc (Santa Barbara),Santa Barbara,State Board of Education Charter,No,K-12,93436,"""Lompoc                        """,125,8.8,0.8,0,0,0.8,73.6,0,4.8,0,20,84,32,28,66.7,65.4,19,0,20,N/A,N/A,3,14,0,35.7,7.41,20.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Olive Grove Charter - Orcutt/Santa Maria (Santa Barbara),Santa Barbara,State Board of Education Charter,No,K-12,93455,"""Santa Maria                   """,153,6.5,0.7,0,0.7,1.3,62.7,0,3.9,2,28.8,62.1,22.22,35,50,50,23.3,0,19,N/A,N/A,3,13,0,20.4,7.04,38.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Olive Grove Charter - Santa Barbara (Santa Barbara),Santa Barbara,State Board of Education Charter,No,K-12,93109,"""Santa Barbara                 """,74,6.8,0,0,1.4,0,70.3,1.4,1.4,0,25.7,58.1,24.32,29,64.3,redacted,15.6,0,19,N/A,N/A,3,14,0,10,4.44,31.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - The New School of San Francisco (San Francisco),San Francisco,State Board of Education Charter,No,K-08,94133,"""San Francisco                 """,457,18.2,0,12.9,7.7,1.1,37.2,0.9,11.8,0.2,28.2,35,20.35,61,N/A,N/A,19.9,0,21,N/A,N/A,2,10,3,20.3,62.05,69.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Vista Springs Charter (San Diego),San Diego,State Board of Education Charter,No,K-08,92084,"""Vista                         """,251,25.1,0.8,0,2.4,0.8,74.1,0,6,0,15.9,70.1,10.76,28,N/A,N/A,23.7,2,9,N/A,N/A,4,7,0,12.9,25.38,32.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SBE - Watsonville Prep (Santa Cruz),Santa Cruz,State Board of Education Charter,No,K-07,95076,"""Watsonville                   """,488,44.9,0,1.2,0,0.6,96.3,0,0.8,0,1,77,18.44,4,N/A,N/A,23.5,9,6,N/A,N/A,16,2,1.9,18.4,32.26,41.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scotia Union Elementary (Humboldt),Humboldt,Elementary School District,No,K-08,95565,"""Scotia                        """,187,2.1,4.3,0,0,0,15.5,0,12.8,2.7,64.7,72.2,1.07,36,N/A,N/A,17.5,5,5,182,180,6,5,0.5,15.2,71.21,68.18,19836,0,0,60,6,5,15,11
Scott Valley Unified (Siskiyou),Siskiyou,Unified School District,No,K-12,96032,"""Fort Jones                    """,604,1,9.3,0.8,1,0,13.4,0.2,12.7,6.5,56.1,63.4,0.83,43,97.9,97.4,17,0,37,185,180,3,13,6.1,18.8,39.12,49.83,21242,0,4,51,8,9,12,14
Scotts Valley Unified (Santa Cruz),Santa Cruz,Unified School District,No,K-12,95066,"""Scotts Valley                 """,2566,4.1,0.3,7,0.7,0.7,21.6,0.2,9.4,1,59.2,16.9,10.13,42,88.2,75,22.2,2,360,187,180,11,12,1.6,13.3,58.55,69.97,16584,0,1,61,9,7,12,9
Sebastopol Union Elementary (Sonoma),Sonoma,Elementary School District,No,K-08,95472,"""Sebastopol                    """,769,8.3,1.2,1.4,1.2,0.7,27.4,0,8.1,4.6,55.5,42,7.8,41,N/A,N/A,18.6,5,40,N/A,N/A,5,11,2.1,11.1,38.02,56.45,22614,0,0,57,11,9,8,15
