District Name,County Name (District),District Type (District),All Charter Schools (Y/N) (District),Grade Span (District),Zip (District),City (District),Census Day Enrollment (District),English Learners % (District),American Indian or Alaska Native % (District),Asian % (District),Black or African American % (District),Filipino % (District),Hispanic or Latino % (District),Native Hawaiian or Pac Islander % (District),Two or More Races % (District),None Reported % (District),White % (District),Free/Reduced Meals % (District),Fluent English Proficient (FEP) % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Cohort Grads by Socio. Econ. DisAdvtg % (District),Student/Teacher Ratio (District),1st Year Teachers (District),Experienced Teachers (District),Teacher Service Days (District),Teaching Days (District),Inexperienced Teachers (District),Avg Years Teaching (District),Suspension Rate (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)
ABC Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,90703,"""Cerritos                      """,17612,9.8,0.2,23.7,6.7,11.6,45.7,0.5,4.3,2.9,4.5,58.5,21.77,55,95.2,94.1,21.6,29,780,184,180,56,16,2.1,11.9,53.07,64.96,19766,0,0,57,10,8,13,11
Acalanes Union High (Contra Costa),Contra Costa,High School District,No,09-12,94549,"""Lafayette                     """,5425,3.2,0.2,15.2,1.6,2,12.2,0.2,10.9,1.2,56.5,8.7,16.79,46,97.7,94.2,19.2,3,280,186,180,9,14,2.1,11.8,65.45,81.01,20508,0,1,58,12,7,12,11
Ackerman Charter (Placer),Placer,Elementary School District,No,K-08,95603,"""Auburn                        """,606,4,0.2,0.8,0.5,0.8,18,0,10.1,0,69.6,25.1,3.47,32,N/A,N/A,21.6,0,28,184,180,1,14,0.5,6.5,52.48,61.46,13572,0,1,51,14,6,7,12
Acton-Agua Dulce Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,93510,"""Acton                         """,13443,8.5,0.4,2.4,7,0.7,58.5,0.2,5.7,1.6,23.5,65.6,19.75,42,41.6,38.1,20.7,15,708,N/A,N/A,45,14,0.3,36.4,19.92,34.17,25419,0,1,66,8,9,5,10
Adelanto Elementary (San Bernardino),San Bernardino,Elementary School District,No,K-12,92301,"""Adelanto                      """,8472,16,0.4,0.9,17.3,0.3,67.5,0.4,3.4,3.5,6.2,72.4,8.2,32,43.3,42.9,21.2,10,363,183,180,39,14,7.3,30.6,15.22,25.04,21315,0,0,61,12,7,10,6
Alameda County Office of Education (Alameda),Alameda,County Office of Education (COE),No,K-12,94544,"""Hayward                       """,4034,24.7,0.4,19.6,13.3,1.9,44.1,0.8,9.5,2.4,8,54.2,21.1,58,57.2,51.4,21.4,21,207,186,186,52,9,2.2,17.5,0,8.47,N/A,0,0,7,14,36,36,5
Alameda Unified (Alameda),Alameda,Unified School District,No,K-12,94501,"""Alameda                       """,10771,8.4,0.3,24.8,7,4.4,17.7,0.5,15.6,3,26.7,36.3,17.74,69,93.8,92.1,21.3,32,442,186,180,90,13,2.6,12.9,59.96,68.21,18559,0,2,60,10,6,11,11
Albany City Unified (Alameda),Alameda,Unified School District,No,K-12,94706,"""Albany                        """,3694,12.1,0.2,30.5,3.8,1.6,17.7,0.1,13.4,8.4,24.3,31.8,24.39,63,98.6,98.4,20.6,13,167,184,180,29,12,1.3,10.7,67.63,76.78,18118,0,1,62,7,7,11,10
Alexander Valley Union Elementary (Sonoma),Sonoma,Elementary School District,No,K-06,95448,"""Healdsburg                    """,111,4.5,0,0,0.9,0,29.7,0,3.6,0.9,64.9,25.2,8.11,33,N/A,N/A,12.3,0,10,N/A,N/A,0,23,0,7.8,59.68,74.19,27677,0,0,59,6,11,13,10
Alhambra Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,91803,"""Alhambra                      """,14597,25.6,0.1,47.1,0.6,2.5,42.2,0,3.3,2.3,1.9,48,30.72,42,94.3,95,22.5,0,628,187,180,29,17,1.3,9.7,53.23,63.77,20649,0,1,54,14,7,13,11
Alisal Union (Monterey),Monterey,Elementary School District,No,K-06,93905,"""Salinas                       """,7303,56.2,0.1,0.2,0.1,0.8,97.4,0.1,0.5,0,0.8,91,16.58,3,N/A,N/A,24.6,63,220,188,180,85,10,1.1,15.9,21.79,28.61,22712,0,0,63,9,3,14,7
Allensworth Elementary (Tulare),Tulare,Elementary School District,No,K-08,93219,"""Allensworth                   """,118,43.2,0,0,1.7,0,98.3,0,0,0,0,97.5,11.02,2,N/A,N/A,16.9,4,1,183,180,6,2,4,24.8,6.06,9.09,19564,0,0,58,10,7,7,17
Alpaugh Unified (Tulare),Tulare,Unified School District,No,K-12,93201,"""Alpaugh                       """,1074,19.4,0.6,1.1,3.4,0,61.5,0,7.5,0,25.9,72.3,11.08,39,79.6,79,21.3,3,306,185,180,6,12,0.1,24.7,7.45,17.46,22553,0,2,56,5,12,8,14
Alpine County Office of Education (Alpine),Alpine,County Office of Education (COE),No,10-11,96120,"""Markleeville                  """,4,N/A,0,0,0,0,50,0,0,0,50,100,N/A,35,N/A,N/A,0,0,1,N/A,N/A,0,28,0,0,redacted,redacted,N/A,0,0,24,26,24,17,10
Alpine County Unified (Alpine),Alpine,Unified School District,No,K-08,96120,"""Markleeville                  """,57,N/A,50.9,0,0,0,10.5,0,3.5,0,35.1,68.4,N/A,44,N/A,N/A,9.5,0,6,186,180,0,9,1.6,23,31.25,42.86,70789,0,0,49,11,18,10,13
Alpine Union Elementary (San Diego),San Diego,Elementary School District,No,K-08,91901,"""Alpine                        """,1441,4.6,3.5,0.5,1.2,0.5,33,0.1,6.9,3.7,50.7,36.3,2.98,44,N/A,N/A,20,5,64,185,180,8,14,2.8,22.6,42.26,48.1,16825,0,0,55,12,9,8,12
Alta Loma Elementary (San Bernardino),San Bernardino,Elementary School District,No,K-08,91701,"""Alta Loma                     """,5543,5.3,0.1,11.1,4.3,1.5,50.5,0.2,5.2,0.7,26.4,39.8,10.59,50,N/A,N/A,22.7,10,228,185,180,19,15,1.8,10.1,52.41,65.55,15559,0,0,58,8,6,10,13
Alta Vista Elementary (Tulare),Tulare,Elementary School District,No,K-12,93257,"""Porterville                   """,1869,15.3,0.2,1.1,1.4,0.2,52.2,0.9,4.6,2.5,36.9,61,4.33,41,90.6,96.7,28.1,14,73,184,180,19,11,2.9,6.9,9.73,19.63,18815,0,0,59,5,10,9,15
Alta-Dutch Flat Union Elementary (Placer),Placer,Elementary School District,No,K-08,95701,"""Alta                          """,99,2,0,0,1,1,14.1,0,3,0,80.8,25.3,1.01,21,N/A,N/A,17.5,0,6,N/A,N/A,0,13,0,16,36.21,41.38,18972,0,0,51,2,24,11,11
Alum Rock Union Elementary (Santa Clara),Santa Clara,Elementary School District,No,K-08,95127,"""San Jose                      """,8598,43.7,0.2,11.5,0.7,4.1,80,0.4,1.6,0.1,1.4,76.1,21.78,22,N/A,N/A,18,29,426,184,180,50,13,1.9,19.5,20.66,28.6,24712,0,1,61,12,7,9,9
Alview-Dairyland Union Elementary (Madera),Madera,Elementary School District,No,K-08,93610,"""Chowchilla                    """,399,34.6,0.3,0.5,0.5,0,65.2,0,0,0.3,33.3,57.1,9.27,31,N/A,N/A,21,1,16,184,180,4,14,3.3,9.4,39.29,52.28,17198,0,0,60,9,9,7,14
Alvina Elementary (Fresno),Fresno,Elementary School District,No,K-08,93609,"""Caruthers                     """,169,22.5,0,0.6,0.6,0,88.8,0,1.2,0,8.9,82.2,19.53,12,N/A,N/A,16.9,0,9,N/A,N/A,1,14,0,8.7,37.17,47.79,20866,0,0,56,6,9,15,14
Alvord Unified (Riverside),Riverside,Unified School District,No,K-12,92879,"""Corona                        """,16466,23.5,0.2,3.6,4,1.4,81.3,0.3,1.9,0,7.2,85.3,20.41,21,94.4,94.2,22,3,704,185,180,53,15,3.1,22,24.18,38.13,21841,0,1,63,9,5,11,10
Amador County Office of Education (Amador),Amador,County Office of Education (COE),No,09-12,95642,"""Jackson                       """,23,N/A,4.3,0,0,0,30.4,0,4.3,0,60.9,39.1,4.35,37,redacted,redacted,9.9,0,3,N/A,N/A,0,18,4.7,50,N/A,N/A,N/A,1,0,48,25,8,13,3
Amador County Unified (Amador),Amador,Unified School District,No,K-12,95642,"""Jackson                       """,4036,2.9,2,0.6,0.5,0.6,25.4,0.2,8,0.1,62.6,40,4.01,38,97.3,95.5,20.2,6,194,N/A,N/A,17,14,7.8,24.3,23.49,35.79,15715,1,2,47,10,8,13,12
Anaheim Elementary (Orange),Orange,Elementary School District,No,K-06,92805,"""Anaheim                       """,14371,39.8,0.1,4.7,1.4,1.6,83.9,0.3,1.4,2.4,4,71.1,16.91,16,N/A,N/A,20.2,24,713,185,180,55,15,0.9,21,23.12,30.19,24161,0,0,56,11,6,16,7
Anaheim Union High (Orange),Orange,High School District,No,07-12,92801,"""Anaheim                       """,26120,21.1,0.8,13.9,2.1,3.9,68.7,0.4,2,0.3,8,81.6,43.06,34,94.3,94.3,22.5,16,1135,185,180,60,17,3,24.3,25.6,42.94,19601,0,2,57,10,6,8,13
Anderson Union High (Shasta),Shasta,High School District,No,08-12,96007,"""Anderson                      """,1581,3.7,4.4,2.5,1.3,0.4,21.9,0.3,5.4,0.2,63.6,51.6,8.1,38,87.9,85.9,20.8,1,71,183,180,4,15,11.4,32.4,27.65,49.86,19421,0,3,46,15,9,7,15
Anderson Valley Unified (Mendocino),Mendocino,Unified School District,No,K-12,95415,"""Boonville                     """,382,37.2,0,0,0.5,0,81.2,0,0,0,18.3,74.6,31.94,19,100,100,14.6,1,25,187,180,5,10,6.3,32,19.34,29.83,24191,0,1,54,7,12,11,12
Antelope Elementary (Tehama),Tehama,Elementary School District,No,K-08,96080,"""Red Bluff                     """,788,4.7,2.8,0.3,0.6,0.3,28.3,0.1,2.7,0.8,64.2,58.2,7.99,34,N/A,N/A,19.2,3,35,183,180,7,15,3.8,10.4,38.7,44.67,17956,0,1,61,7,7,9,12
Antelope Valley Union High (Los Angeles),Los Angeles,High School District,No,06-12,93535,"""Lancaster                     """,21958,9.7,0.2,1,16.6,1.3,67.2,0.1,4.3,0.4,8.9,63.3,27.28,35,82.3,81.1,23.6,105,763,185,180,149,14,8.7,29.2,13.98,39.17,19987,0,1,55,12,5,11,15
Antioch Unified (Contra Costa),Contra Costa,Unified School District,No,K-12,94509,"""Antioch                       """,16199,19.9,0.6,4.8,22.9,4.8,50.9,1.6,4.9,0,9.6,78.2,14.53,52,80.5,80.1,20.6,34,687,184,180,86,15,4.9,32.7,14.24,27.03,23302,0,0,60,12,6,12,10
Apple Valley Unified (San Bernardino),San Bernardino,Unified School District,No,K-12,92308,"""Apple Valley                  """,15128,9.9,0.3,1.3,6.8,0.5,59.9,0.3,3.9,0.1,26.9,70.7,7.88,40,94.1,93.7,21.4,17,640,184,180,74,11,5.5,29.2,17.36,29.86,19836,0,0,61,7,5,9,14
Arcadia Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,91006,"""Arcadia                       """,9073,14.3,0.1,64.2,1.2,3,17.6,0.1,4.3,1.9,7.5,29.7,38.25,37,99,99.1,24.5,6,376,186,183,12,17,0.7,4.7,68.28,71.97,18100,0,1,61,8,8,8,10
Arcata Elementary (Humboldt),Humboldt,Elementary School District,No,K-12,95521,"""Arcata                        """,1174,1.9,2.6,1.7,1.5,0.2,20.6,0.1,14.6,0.5,58.3,57.4,1.53,43,87.5,redacted,14.3,10,73,182,180,16,9,6.1,24.1,29.94,41.49,23470,0,1,49,13,10,9,9
Arcohe Union Elementary (Sacramento),Sacramento,Elementary School District,No,K-08,95638,"""Herald                        """,560,7.9,0.2,1.6,0.9,0,42.5,0,6.1,5.9,42.9,31.1,9.64,42,N/A,N/A,25.5,0,22,185,180,0,16,2.9,17,34.86,31.52,14926,0,0,70,4,7,9,11
Arena Union Elementary (Mendocino),Mendocino,Elementary School District,No,K-12,95468,"""Point Arena                   """,303,15.5,6.9,0.3,0,0,58.7,0,3.6,0,30.4,62,17.82,40,redacted,redacted,17.3,3,17,N/A,N/A,3,12,1.2,45.1,13.42,26.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arena Union Elementary/Point Arena Joint Union High (Mendocino),Mendocino,Common Administration District,No,N/A,95468,Point Arena,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,184,180,N/A,N/A,N/A,N/A,N/A,N/A,30687,0,5,47,10,9,14,15
Armona Union Elementary (Kings),Kings,Elementary School District,No,K-12,93202,"""Armona                        """,1919,15.9,0.5,2,3.2,1.1,75.7,0.4,2.9,0.6,13.5,80.1,12.87,26,67.6,66.7,19.7,11,423,186,180,30,11,2.1,10.3,25.21,35.15,18083,0,0,59,8,7,9,14
Aromas - San Juan Unified (San Benito),San Benito,Unified School District,No,K-12,95045,"""San Juan Bautista             """,965,26.3,0.4,1,0.3,0.4,73.5,0,1.7,1.7,21,53.7,22.07,26,89.2,89.1,19.2,2,47,N/A,N/A,6,12,3.5,18.8,27.24,38.14,21329,0,2,49,10,10,11,14
Arvin Union (Kern),Kern,Elementary School District,No,K-08,93203,"""Arvin                         """,2801,59.2,0,0.3,0.7,0.1,93.4,0,0.1,0,5.2,93.4,10.25,7,N/A,N/A,17.3,11,135,185,180,27,13,0.3,13.4,21.9,29.73,21461,0,0,47,10,4,11,24
Atascadero Unified (San Luis Obispo),San Luis Obispo,Unified School District,No,K-12,93422,"""Atascadero                    """,4357,8.3,0.6,1,1.2,1.1,30.6,0.2,5,1.9,58.4,47.9,5,39,91.2,90.7,19.7,10,202,185,180,28,14,5.6,28.5,40.09,52,17137,0,1,58,12,7,9,10
Atwater Elementary (Merced),Merced,Elementary School District,No,K-08,95301,"""Atwater                       """,4925,26.8,0.4,3.5,1.7,0.3,79.5,0.2,2.1,0,12.2,79.1,15.45,23,N/A,N/A,19.3,16,200,183,180,55,10,2.7,9.3,32.84,44.01,20375,0,1,63,9,5,10,11
Auburn Union Elementary (Placer),Placer,Elementary School District,No,K-08,95603,"""Auburn                        """,1384,15.5,1.1,1.2,0.7,0.2,36.6,0.6,5,0,54.6,68,9.54,40,N/A,N/A,19.5,0,71,185,180,2,11,4.4,26.3,25.42,35.84,18979,0,0,54,10,7,8,15
Azusa Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,91702,"""Azusa                         """,6045,23,0.1,1.9,1.2,1.3,90.4,0,0.9,1.3,2.9,87.3,24.1,10,87.9,88.6,21.1,8,262,185,180,29,20,4.5,26.7,21.97,34.06,24690,0,0,58,8,6,11,15
Baker Valley Unified (San Bernardino),San Bernardino,Unified School District,No,K-12,92309,"""Baker                         """,125,52.8,0,0,0,0,82.4,0,0,0,17.6,68.8,11.2,18,redacted,redacted,12.5,0,10,182,180,0,13,5.4,14.8,9.09,12.99,35606,0,0,52,5,15,10,18
Bakersfield City (Kern),Kern,Elementary School District,No,K-08,93305,"""Bakersfield                   """,28365,25.1,0.3,0.7,7.1,0.4,83.2,0.1,1,0,7.3,87.8,10.04,19,N/A,N/A,18.9,241,1192,182,180,330,12,2.8,18.9,15.21,28.11,22638,0,0,59,9,4,10,16
Baldwin Park Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,91706,"""Baldwin Park                  """,9565,17.6,0,7,0.5,1.6,89.3,0,0.5,0.2,1,89.5,32.55,12,84,84.4,20.4,12,457,184,180,28,20,4.2,19.5,27.83,42.03,23647,0,0,59,8,5,12,14
Ballard Elementary (Santa Barbara),Santa Barbara,Elementary School District,No,K-06,93463,"""Solvang                       """,113,0.9,0,1.8,0,0,12.4,0,3.5,3.5,78.8,10.6,0.88,20,N/A,N/A,16.1,0,7,184,180,1,19,0.8,15.5,66.2,77.46,25846,0,0,67,0,9,10,8
Ballico-Cressey Elementary (Merced),Merced,Elementary School District,No,K-08,95303,"""Ballico                       """,336,28.9,1.5,0.9,0.3,0,67.3,0.3,0.6,0.6,28.6,46.4,8.63,31,N/A,N/A,15.9,3,15,185,180,7,6,0.6,5.4,36.57,46.08,39956,0,0,49,11,11,18,8
Bangor Union Elementary (Butte),Butte,Elementary School District,No,K-08,95914,"""Bangor                        """,88,9.1,0,0,0,0,29.5,0,14.8,0,55.7,71.6,1.14,42,N/A,N/A,17.6,0,4,183,180,1,13,5.3,26.6,32.08,57.69,23023,0,4,43,8,11,10,15
Banning Unified (Riverside),Riverside,Unified School District,No,K-12,92220,"""Banning                       """,4237,17.9,1.7,3.5,6.6,0.7,74.9,0.1,3.2,0.1,9.2,91.8,11.56,28,83.9,84.5,20.5,3,198,N/A,N/A,9,12,5.1,29.3,15.3,27.43,21430,0,1,57,10,6,10,15
Banta Unified (San Joaquin),San Joaquin,Unified School District,No,K-11,95304,"""Tracy                         """,3563,13.5,2.4,36.3,9.2,13.2,28.7,0.6,0.6,0.3,8.7,38,22.93,62,N/A,N/A,21.4,25,124,183,180,46,7,2.2,15,12.24,24.49,33047,0,0,38,13,10,10,7
Barstow Unified (San Bernardino),San Bernardino,Unified School District,No,K-12,92311,"""Barstow                       """,6128,8.7,0.6,0.4,18.2,0.4,58.5,0.9,6.6,0,14.3,76.5,5.06,44,86.9,85.4,22.4,26,219,185,180,53,12,9.6,47.7,10.24,17.27,20973,0,0,53,9,8,10,19
Bass Lake Joint Union Elementary (Madera),Madera,Elementary School District,No,K-08,93644,"""Oakhurst                      """,809,7.4,2.8,1.5,0,0.4,25.9,0,5.1,0.1,64.2,72.4,2.97,36,N/A,N/A,17.1,5,39,184,180,9,10,7.9,25.8,26.63,36.13,20935,0,0,58,13,8,9,10
Bassett Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,91746,"""La Puente                     """,2801,22.4,0.1,5.8,1,1.3,90.6,0.1,0.2,0,0.9,90.4,26.56,11,96.4,96.6,20.9,1,118,183,180,18,18,2.6,19.4,29.44,43.17,22702,0,0,53,9,11,8,15
Bayshore Elementary (San Mateo),San Mateo,Elementary School District,No,K-08,94014,"""Daly City                     """,342,32.2,0,14.3,2.3,15.2,46.8,6.4,8.2,0,6.7,63.7,16.96,58,N/A,N/A,19.1,0,18,185,180,0,9,3.9,13.8,30.23,34.27,20144,0,0,61,7,15,10,5
Bear Valley Unified (San Bernardino),San Bernardino,Unified School District,No,K-12,92315,"""Big Bear Lake                 """,2176,14.3,0.2,0.7,0.5,0.2,46.4,0.2,4.8,0.2,46.8,68.4,8.69,40,89.9,91,21.5,3,94,186,180,11,15,6.7,26.9,32.57,43.57,18648,0,1,56,9,9,8,13
Beardsley Elementary (Kern),Kern,Elementary School District,No,K-08,93308,"""Bakersfield                   """,1989,14.5,0.6,0.1,6.1,0.2,62.3,0,4,0.1,26.6,97.6,6.59,38,N/A,N/A,18.6,9,90,N/A,N/A,20,10,1.7,29.6,14.3,25.97,21034,0,1,54,14,6,8,10
Beaumont Unified (Riverside),Riverside,Unified School District,No,K-12,92223,"""Beaumont                      """,19503,5,0.5,2.5,5.7,2.3,54.8,0.4,4.9,1.2,27.7,58.9,7.71,45,94.5,94.3,23.7,6,836,185,180,39,12,1.2,14.5,36.48,50.62,18835,0,1,58,12,6,10,12
Bella Vista Elementary (Shasta),Shasta,Elementary School District,No,K-08,96008,"""Bella Vista                   """,344,1.5,2.3,0.9,0,0,17.7,0,9,1.5,68.6,63.7,0.58,32,N/A,N/A,18.1,2,16,N/A,N/A,3,15,5.4,15.4,37,50.75,17422,0,1,60,10,8,8,13
Belleview Elementary (Tuolumne),Tuolumne,Elementary School District,No,K-08,95370,"""Sonora                        """,149,4,0,0,0,0.7,24.2,0,6.7,0,68.5,49,0,32,N/A,N/A,16.4,0,9,N/A,N/A,0,11,1.2,17.1,39.39,45.92,19245,0,0,64,7,11,8,9
Bellevue Union (Sonoma),Sonoma,Elementary School District,No,K-06,95407,"""Santa Rosa                    """,1655,49.4,0.2,4.6,1.7,0.4,83.6,0.7,1.5,0,7.3,75,16.56,18,N/A,N/A,19.4,8,72,185,180,15,10,1.2,19.7,18.51,26.8,23949,0,0,63,16,5,8,6
Bellflower Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,90706,"""Bellflower                    """,9633,15.7,0.3,4.1,12.4,4,68.1,1,3.3,0.4,6.4,77.4,15.24,35,94.4,94.2,18.9,39,457,184,180,60,16,4.7,21.5,29.16,47.02,23582,0,1,61,8,8,11,11
Belmont-Redwood Shores Elementary (San Mateo),San Mateo,Elementary School District,No,K-08,94002,"""Belmont                       """,3914,11.5,0.1,36.9,0.9,2.8,13.6,0.5,13.9,4.4,26.8,10.2,24.99,59,N/A,N/A,22.3,19,147,185,180,36,12,1,9.7,79.19,80.38,17627,0,1,64,9,8,9,8
Benicia Unified (Solano),Solano,Unified School District,No,K-12,94510,"""Benicia                       """,4346,3.2,0.1,4.4,4.9,6,27.4,0.4,16.5,0,40.3,23.5,7.13,59,96.2,95.4,20.7,31,167,N/A,N/A,48,13,2.1,12.9,53.51,55.26,15618,0,0,62,9,7,11,10
Bennett Valley Union Elementary (Sonoma),Sonoma,Elementary School District,No,K-06,95405,"""Santa Rosa                    """,889,13.3,0.1,4.2,2.6,1.3,23.6,2,10.2,0.2,55.7,33.1,3.04,46,N/A,N/A,22.8,6,32,186,180,7,15,1.3,10.5,51.24,63.41,17023,0,1,72,4,8,7,9
Berkeley Unified (Alameda),Alameda,Unified School District,No,K-12,94702,"""Berkeley                      """,9162,6.3,0.2,8.2,11.3,0.8,22.4,0.2,15.9,0.1,40.8,28.9,13.64,60,94.8,93.7,16.5,9,554,184,180,28,13,1.6,12.9,66.29,71.64,26397,0,0,61,9,7,12,10
Berryessa Union Elementary (Santa Clara),Santa Clara,Elementary School District,No,K-08,95131,"""San Jose                      """,5911,21.7,0.2,51.4,1.4,11,26.1,0.5,5.2,0,4.4,29.3,26.85,49,N/A,N/A,21.5,1,273,185,180,5,16,0.8,11.6,55.03,64.73,18544,0,0,67,7,8,10,8
Beverly Hills Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,90210,"""Beverly Hills                 """,3079,10,0.1,11.1,2.4,0.8,9.4,0.3,6.8,5.2,63.9,28.7,23.58,36,91.5,92.4,14.2,3,215,186,180,9,17,2.2,14.3,62.79,71.12,35360,0,2,55,7,10,11,15
Big Creek Elementary (Fresno),Fresno,Elementary School District,No,K-08,93605,"""Big Creek                     """,21,N/A,0,0,0,0,52.4,0,4.8,0,42.9,38.1,N/A,38,N/A,N/A,9.3,2,1,N/A,N/A,2,2,0,27.3,redacted,redacted,110560,0,0,34,11,13,20,21
Big Lagoon Union Elementary (Humboldt),Humboldt,Elementary School District,No,K-07,95570,"""Trinidad                      """,15,N/A,60,0,0,0,0,0,20,13.3,6.7,33.3,6.67,31,N/A,N/A,6.8,0,3,N/A,N/A,0,17,6.3,50,redacted,redacted,49200,0,0,45,4,18,19,13
Big Oak Flat-Groveland Unified (Tuolumne),Tuolumne,Unified School District,No,K-12,95321,"""Groveland                     """,268,3.7,4.1,1.1,2.6,1.5,22.4,0.4,0,0.4,67.5,53.4,2.99,33,87,81.3,10.2,1,22,182,180,6,10,1.3,32.3,10.22,24.82,33413,0,1,53,11,11,9,14
Big Pine Unified (Inyo),Inyo,Unified School District,No,K-12,93513,"""Big Pine                      """,151,6.6,29.1,0,0,0,35.1,0,12.6,0.7,22.5,53,0.66,58,redacted,redacted,10.9,1,16,182,180,1,11,1.8,44.1,29.89,24.14,40081,0,0,55,8,13,4,20
Big Springs Union Elementary (Siskiyou),Siskiyou,Elementary School District,No,K-08,96064,"""Montague                      """,151,11.9,2,28.5,0,0,12.6,0,11.9,0.7,44.4,60.3,5.3,54,N/A,N/A,25.6,1,6,184,180,1,13,1.1,35.5,8.89,24.72,18458,0,1,59,3,10,12,14
Big Sur Unified (Monterey),Monterey,Unified School District,No,K-12,93920,"""Big Sur                       """,113,0.9,0,0,3.5,0,32.7,0.9,13.3,0,49.6,33.6,1.77,47,redacted,redacted,11.6,0,8,153,148,2,10,0,2.4,redacted,redacted,100676,0,0,51,2,14,17,12
Big Valley Joint Unified (Lassen),Lassen,Unified School District,No,K-12,96009,"""Bieber                        """,114,9.6,6.1,0,0,0,22.8,0.9,0,0,70.2,50,3.51,30,redacted,redacted,11.3,3,7,185,180,4,6,16.9,24.4,18.18,29.63,25533,0,2,44,8,11,19,16
Biggs Unified (Butte),Butte,Unified School District,No,K-12,95917,"""Biggs                         """,534,10.7,0.7,1.7,1.5,0,41.4,0.2,0.2,0,54.3,65.7,11.24,37,94.4,92.6,15.6,2,26,184,180,11,10,5.3,17.6,20.85,37.72,17532,0,1,51,10,11,10,12
Bishop Unified (Inyo),Inyo,Unified School District,No,K-12,93514,"""Bishop                        """,1910,9.5,14.4,0.6,0.2,0.1,42.4,0.1,8.6,1.4,32.3,59.4,14.24,53,94.3,93.2,17.9,2,102,185,180,10,15,4.7,24.8,35.01,42.68,19754,0,0,61,8,8,12,11
Bitterwater-Tully Elementary (San Benito),San Benito,Elementary School District,No,K-08,93930,"""King City                     """,35,11.4,0,0,0,0,57.1,0,2.9,0,40,31.4,17.14,36,N/A,N/A,17.5,0,2,182,180,0,13,5.4,42.9,17.65,64.71,17493,0,0,56,6,10,5,13
Black Butte Union Elementary (Shasta),Shasta,Elementary School District,No,K-08,96088,"""Shingletown                   """,235,1.3,6.8,0.9,2.1,0.4,17.4,0.4,5.5,0,66.4,71.9,0.85,36,N/A,N/A,14.7,2,11,186,180,4,10,8,35.2,18.34,29.59,21898,0,0,56,14,9,11,9
Black Oak Mine Unified (El Dorado),El Dorado,Unified School District,No,K-12,95634,"""Georgetown                    """,1238,0.7,1.2,0.6,0.4,0.2,13.8,0.6,4.3,5.7,73.2,40.5,1.37,24,91.7,89.9,20.2,4,60,185,180,9,12,5.2,18,30.86,43.99,20974,0,2,41,28,6,6,12
Blake Elementary (Kern),Kern,Elementary School District,No,K-08,93287,"""Woody                         """,23,21.7,0,0,0,0,34.8,0,0,4.3,60.9,47.8,4.35,31,N/A,N/A,23,0,1,N/A,N/A,0,14,0,46.2,5.56,16.67,15906,0,0,49,22,8,4,17
Blochman Union Elementary (Santa Barbara),Santa Barbara,Elementary School District,No,K-12,93454,"""Santa Maria                   """,1580,3,0.6,1.5,0.8,0.5,33,0.1,8.6,0.9,54.1,38.9,5.82,42,90.7,89,26.6,3,74,184,180,3,14,0.3,6.7,31.88,51.45,17089,0,0,38,14,8,10,29
Blue Lake Union Elementary (Humboldt),Humboldt,Elementary School District,No,K-08,95525,"""Blue Lake                     """,153,N/A,5.2,1.3,0,0,15.7,0.7,17,0,60.1,62.1,0.65,42,N/A,N/A,12.7,0,13,185,180,0,11,1.2,8.8,28.43,33.33,21096,0,0,56,3,7,9,19
Bogus Elementary (Siskiyou),Siskiyou,Elementary School District,No,K-08,96064,"""Montague                      """,20,N/A,15,0,0,0,35,0,5,0,45,80,N/A,49,N/A,N/A,20,0,1,185,180,0,9,0,60.9,71.43,78.57,27600,0,0,48,7,20,12,8
Bolinas-Stinson Union (Marin),Marin,Elementary School District,No,K-08,94924,"""Bolinas                       """,109,12.8,0,0,0,0,25.7,0,7.3,0,67,38.5,6.42,33,N/A,N/A,15.4,1,7,186,180,2,14,0.9,26.6,50,63.24,54102,0,0,60,8,12,12,8
