GeoId|Geography|LEAID|Year|Iteration|DP02_59est|DP02_59moe|DP02_60est|DP02_60moe|DP02_60pct|DP02_60pctmoe|DP02_61est|DP02_61moe|DP02_61pct|DP02_61pctmoe|DP02_62est|DP02_62moe|DP02_62pct|DP02_62pctmoe|DP02_63est|DP02_63moe|DP02_63pct|DP02_63pctmoe|DP02_64est|DP02_64moe|DP02_64pct|DP02_64pctmoe|DP02_65est|DP02_65moe|DP02_65pct|DP02_65pctmoe|DP02_66est|DP02_66moe|DP02_66pct|DP02_66pctmoe|DP02_67est|DP02_67moe|DP02_67pct|DP02_67pctmoe|DP02_68est|DP02_68moe|DP02_68pct|DP02_68pctmoe
9700000US0606780|Cabrillo Unified School District, CA|0606780|2019-2023|001|17877|956|899|277|5.0|1.5|761|384|4.3|2.1|2176|434|12.2|2.2|2856|520|16.0|2.7|1570|359|8.8|2.0|4939|627|27.6|3.0|4676|519|26.2|3.2|16217|915|90.7|2.4|9615|747|53.8|3.9
9500000US0606810|Cajon Valley Union Elementary School District, CA|0606810|2019-2023|001|114131|2144|8708|861|7.6|0.7|6763|772|5.9|0.7|30024|1600|26.3|1.3|26732|1302|23.4|1.0|11417|1078|10.0|0.9|19643|1165|17.2|1.0|10844|893|9.5|0.8|98660|2222|86.4|0.9|30487|1663|26.7|1.4
9700000US0606870|Calaveras Unified School District, CA|0606870|2019-2023|001|21148|774|161|83|0.8|0.4|1334|346|6.3|1.6|8015|844|37.9|3.8|6066|628|28.7|2.8|2087|432|9.9|2.0|2436|440|11.5|2.0|1049|364|5.0|1.7|19653|793|92.9|1.6|3485|589|16.5|2.7
9700000US0606900|Calexico Unified School District, CA|0606900|2019-2023|001|24022|753|5037|617|21.0|2.5|3346|519|13.9|2.2|4711|678|19.6|2.7|4039|675|16.8|2.7|1774|481|7.4|2.0|3895|635|16.2|2.6|1220|295|5.1|1.2|15639|953|65.1|3.2|5115|673|21.3|2.7
9500000US0606960|Caliente Union Elementary School District, CA|0606960|2019-2023|001|599|127|13|17|2.2|2.7|15|12|2.5|2.0|131|55|21.9|8.0|151|59|25.2|8.0|88|61|14.7|9.9|171|78|28.5|10.8|30|21|5.0|3.3|571|124|95.3|3.8|201|82|33.6|10.7
9700000US0606990|Calipatria Unified School District, CA|0606990|2019-2023|001|6542|522|749|250|11.4|3.7|1776|317|27.1|4.5|1927|316|29.5|4.3|1630|375|24.9|5.3|215|82|3.3|1.3|167|91|2.6|1.4|78|82|1.2|1.2|4017|498|61.4|5.6|245|106|3.7|1.6
9700000US0607020|Calistoga Joint Unified School District, CA|0607020|2019-2023|001|5356|344|571|250|10.7|4.8|570|294|10.6|5.5|796|274|14.9|5.1|1088|353|20.3|6.0|436|157|8.1|2.8|1140|234|21.3|4.3|755|236|14.1|4.4|4215|593|78.7|9.1|1895|359|35.4|6.6
9500000US0607140|Cambrian Elementary School District, CA|0607140|2019-2023|001|22642|1354|565|223|2.5|1.0|561|230|2.5|1.0|3169|633|14.0|2.5|3280|467|14.5|2.0|1748|382|7.7|1.6|6863|674|30.3|3.0|6456|789|28.5|2.7|21516|1326|95.0|1.3|13319|1070|58.8|3.5
9500000US0607170|Camino Union Elementary School District, CA|0607170|2019-2023|001|4381|727|145|160|3.3|3.5|138|81|3.1|1.9|1266|438|28.9|7.7|934|246|21.3|5.2|539|181|12.3|4.0|982|307|22.4|5.4|377|124|8.6|2.9|4098|707|93.5|3.7|1359|325|31.0|5.4
9500000US0607200|Campbell Union Elementary School District, CA|0607200|2019-2023|001|72237|2494|3654|668|5.1|0.9|2876|553|4.0|0.8|10258|1046|14.2|1.3|10950|822|15.2|1.1|5197|580|7.2|0.8|22387|1477|31.0|1.6|16915|1196|23.4|1.5|65707|2408|91.0|1.2|39302|2142|54.4|2.1
