dist_name,performance_tier,final_z_standardized,plus_minus_spots,component_rank_spread,assist_status
Portola Valley Elementary (San Mateo),Moderate Overperformer,1.369638372869084,74.0,196.0,General
Cutler-Orosi Joint Unified (Tulare),Moderate Overperformer,1.3556618026601512,31.5,40.0,General
Brawley Union High (Imperial),Moderate Overperformer,1.3535997283708383,108.5,282.0,Differentiated
Junction Elementary (Siskiyou),Moderate Overperformer,1.3447902179707747,40.5,69.0,General
Kingsburg Joint Union High (Fresno),Moderate Overperformer,1.342571060874624,100.0,275.0,Differentiated
Huntington Beach City Elementary (Orange),Moderate Overperformer,1.3395171281505365,29.5,38.0,Differentiated
Chaffey Joint Union High (San Bernardino),Moderate Overperformer,1.3299739721793762,110.0,302.0,Differentiated
Heber Elementary (Imperial),Moderate Overperformer,1.317188769046956,52.5,126.0,Differentiated
Cutten Elementary (Humboldt),Moderate Overperformer,1.3040709210260542,81.0,201.0,General
Solana Beach Elementary (San Diego),Moderate Overperformer,1.3007599559978833,52.0,121.0,General
Weaver Union (Merced),Moderate Overperformer,1.2921043514781925,46.5,97.0,Differentiated
Calipatria Unified (Imperial),Moderate Overperformer,1.2847825527770347,53.5,113.0,Differentiated
Lowell Joint (Orange),Moderate Overperformer,1.250605467146209,33.5,32.0,Differentiated
Montecito Union Elementary (Santa Barbara),Moderate Overperformer,1.2503319171898963,85.0,230.0,General
Galt Joint Union Elementary (Sacramento),Moderate Overperformer,1.2464056586171375,29.5,26.0,Differentiated
Caruthers Unified (Fresno),Moderate Overperformer,1.2332137069382698,47.0,99.0,Differentiated
El Centro Elementary (Imperial),Moderate Overperformer,1.2302447957107332,40.5,56.0,Differentiated
La Canada Unified (Los Angeles),Moderate Overperformer,1.2171885267055402,41.0,84.0,General
Chino Valley Unified (San Bernardino),Moderate Overperformer,1.2067505761237398,31.0,20.0,Differentiated
Imperial Unified (Imperial),Moderate Overperformer,1.2028912814324861,66.5,184.0,Differentiated
Chula Vista Elementary (San Diego),Moderate Overperformer,1.1911793092736198,66.5,136.0,Differentiated
Ontario-Montclair (San Bernardino),Moderate Overperformer,1.1857530557949134,36.0,44.0,General
San Carlos Elementary (San Mateo),Moderate Overperformer,1.1824019525534701,60.0,109.0,Differentiated
Del Mar Union Elementary (San Diego),Moderate Overperformer,1.1809985282404403,64.5,152.0,General
Bellflower Unified (Los Angeles),Moderate Overperformer,1.1804055896654102,46.5,55.0,Differentiated
Albany City Unified (Alameda),Moderate Overperformer,1.1661625125896438,41.5,63.0,General
Saugus Union (Los Angeles),Moderate Overperformer,1.1511179613387652,54.5,128.0,General
Tipton Elementary (Tulare),Moderate Overperformer,1.1460721223951817,43.5,51.0,Differentiated
Wasco Union High (Kern),Moderate Overperformer,1.1190824531733543,102.0,236.0,Differentiated
Dinuba Unified (Tulare),Moderate Overperformer,1.1170335231185242,58.0,100.0,General
Tustin Unified (Orange),Moderate Overperformer,1.11103841825696,42.0,65.0,Differentiated
Evergreen Union (Tehama),Moderate Overperformer,1.1080096779206527,49.5,103.0,General
Vallecito Union (Calaveras),Moderate Overperformer,1.0842331228603184,46.0,72.0,Differentiated
Ripon Unified (San Joaquin),Moderate Overperformer,1.0767185684231504,54.0,111.0,General
Antelope Elementary (Tehama),Moderate Overperformer,1.0743408266926273,83.5,212.0,General
Placentia-Yorba Linda Unified (Orange),Moderate Overperformer,1.073735388057262,40.5,31.0,General
Manzanita Elementary (Butte),Moderate Overperformer,1.0700330466842634,64.5,123.0,General
Bassett Unified (Los Angeles),Moderate Overperformer,1.0632105964145468,38.5,27.0,Differentiated
Fallbrook Union High (San Diego),Mixed/Volatile Results,1.0612279597696843,145.0,422.0,Differentiated
Clovis Unified (Fresno),Moderate Overperformer,1.0603180449800866,57.5,97.0,Differentiated
Lakeside Union Elementary (Kings),Moderate Overperformer,1.0557318147205021,70.0,176.0,Differentiated
