dist_name,performance_tier,final_z_standardized,plus_minus_spots,component_rank_spread,assist_status
Westmorland Union Elementary (Imperial),Expected Performer,0.15867572266257987,109.0,223.0,Differentiated
Pierce Joint Unified (Colusa),Expected Performer,0.1565922418220538,64.5,49.0,Differentiated
Healdsburg Unified (Sonoma),Expected Performer,0.15557019348422796,117.0,290.0,General
Mountain View Elementary (Los Angeles),Expected Performer,0.1546838779717064,64.0,59.0,Differentiated
Janesville Union Elementary (Lassen),Expected Performer,0.15213577620487956,56.0,25.0,Differentiated
Arcata Elementary (Humboldt),Expected Performer,0.1453587270686707,82.0,120.0,Differentiated
Pleasant Valley (Ventura),Expected Performer,0.14499941199133737,64.5,81.0,Differentiated
Grossmont Union High (San Diego),Expected Performer,0.14382563681487576,151.5,350.0,Differentiated
Kings River Union Elementary (Tulare),Expected Performer,0.14373515350305371,63.5,66.0,General
Liberty Elementary (Tulare),Expected Performer,0.14073207712879002,91.5,122.0,General
Laytonville Unified (Mendocino),Expected Performer,0.13762820459201228,96.5,191.0,Differentiated
Sylvan Union Elementary (Stanislaus),Expected Performer,0.13678506615667843,114.5,257.0,Differentiated
Roseville City (Placer),Expected Performer,0.1361214760262804,76.5,119.0,Differentiated
Nuview Union (Riverside),Expected Performer,0.13074739156310372,80.5,144.0,Differentiated
Pacheco Union Elementary (Shasta),Expected Performer,0.13004927023050675,99.0,202.0,Differentiated
Pomona Unified (Los Angeles),Expected Performer,0.12606538270331089,81.0,104.0,Differentiated
Moraga Elementary (Contra Costa),Expected Performer,0.12605167777475018,76.0,109.0,General
Rocklin Unified (Placer),Expected Performer,0.11791226952779002,92.0,156.0,Differentiated
Bonsall Unified (San Diego),Expected Performer,0.11614846277158355,88.5,167.0,Differentiated
Panama-Buena Vista Union (Kern),Expected Performer,0.11366357341525553,79.0,106.0,Differentiated
San Pasqual Valley Unified (Imperial),Expected Performer,0.1134055699101036,140.0,362.0,Differentiated
Golden Plains Unified (Fresno),Expected Performer,0.11309961335408544,102.5,198.0,Differentiated
Lincoln Unified (San Joaquin),Expected Performer,0.1053575726384376,64.0,62.0,Differentiated
Bret Harte Union High (Calaveras),Mixed/Volatile Results,0.1043311125245739,275.0,624.0,Differentiated
Oak Park Unified (Ventura),Expected Performer,0.10130959304993122,64.0,58.0,General
Corcoran Joint Unified (Kings),Expected Performer,0.09689234258248379,102.5,237.0,Differentiated
Newman-Crows Landing Unified (Stanislaus),Expected Performer,0.07963240646408291,87.5,146.0,Differentiated
Colusa Unified (Colusa),Expected Performer,0.07921304595383015,111.0,218.0,General
Rescue Union Elementary (El Dorado),Expected Performer,0.06952832967754917,96.5,176.0,General
Santa Ana Unified (Orange),Expected Performer,0.06398937780484189,90.5,164.0,Differentiated
Firebaugh-Las Deltas Unified (Fresno),Expected Performer,0.0596145439885337,68.0,68.0,Differentiated
Cascade Union Elementary (Shasta),Expected Performer,0.04871962368064509,92.0,162.0,Differentiated
Redlands Unified (San Bernardino),Expected Performer,0.04336148399653805,69.0,71.0,Differentiated
Sonora Union High (Tuolumne),Mixed/Volatile Results,0.043064976199073936,211.0,501.0,Differentiated
Chico Unified (Butte),Expected Performer,0.04298875959405664,101.0,164.0,Differentiated
Needles Unified (San Bernardino),Expected Performer,0.040526337521736025,122.0,269.0,Differentiated
Victor Valley Union High (San Bernardino),Expected Performer,0.03778747435767097,109.0,247.0,Differentiated
Jamestown Elementary (Tuolumne),Expected Performer,0.03730186779276254,126.5,333.0,Differentiated
Union Elementary (Santa Clara),Expected Performer,0.03335283465745702,121.5,311.0,General
Santa Cruz City Elementary (Santa Cruz),Expected Performer,0.031144296769139684,76.0,129.0,General
Evergreen Elementary (Santa Clara),Expected Performer,0.025549192271155804,114.5,256.0,Differentiated
Patterson Joint Unified (Stanislaus),Expected Performer,0.02264238779445471,106.0,218.0,Differentiated
Atascadero Unified (San Luis Obispo),Expected Performer,0.020066647952085976,107.5,196.0,Differentiated
Ceres Unified (Stanislaus),Expected Performer,0.018341726000619177,90.0,155.0,Differentiated
Sonora Elementary (Tuolumne),Expected Performer,0.01013826624429357,87.5,132.0,General
Susanville Elementary (Lassen),Expected Performer,0.008001956757253062,87.0,146.0,Differentiated
San Ramon Valley Unified (Contra Costa),Expected Performer,0.003620656467358212,85.0,141.0,Differentiated
San Ysidro Elementary (San Diego),Expected Performer,0.002142690823953561,89.5,134.0,Differentiated
Larkspur-Corte Madera (Marin),Expected Performer,-0.005461228406287561,84.0,131.0,Differentiated
Yuba City Unified (Sutter),Expected Performer,-0.00803617562914724,68.5,69.0,Differentiated
Beaumont Unified (Riverside),Expected Performer,-0.013045286633940802,64.0,35.0,Differentiated
Sunnyvale (Santa Clara),Expected Performer,-0.013151273807020546,92.5,188.0,General
Calexico Unified (Imperial),Expected Performer,-0.017032770230103196,77.0,79.0,Differentiated
Middletown Unified (Lake),Expected Performer,-0.017921827308644202,82.0,106.0,Differentiated
Laton Joint Unified (Fresno),Expected Performer,-0.03214793191991224,99.0,210.0,Differentiated
Kern High (Kern),Mixed/Volatile Results,-0.03636986857653591,186.0,491.0,Differentiated
Campbell Union High (Santa Clara),Expected Performer,-0.0366308652061528,112.5,219.0,General
Oroville City Elementary (Butte),Expected Performer,-0.03678894998964604,128.5,321.0,Differentiated
Coast Unified (San Luis Obispo),Expected Performer,-0.03824606734771004,72.0,88.0,Differentiated
San Mateo Union High (San Mateo),Mixed/Volatile Results,-0.04374362884122116,169.0,436.0,Differentiated
Santa Barbara Unified (Santa Barbara),Expected Performer,-0.04432444948826918,127.5,291.0,Differentiated
Pleasant Ridge Union Elementary (Nevada),Expected Performer,-0.044687347065008605,130.0,292.0,Differentiated
Val Verde Unified (Riverside),Expected Performer,-0.05668280229250423,96.0,175.0,Differentiated
Hermosa Beach City Elementary (Los Angeles),Expected Performer,-0.06329960778143792,110.5,207.0,General
Western Placer Unified (Placer),Expected Performer,-0.07103487919563356,58.0,49.0,Differentiated
Riverside Unified (Riverside),Expected Performer,-0.07981791131905193,68.0,67.0,Differentiated
West Sonoma County Union High (Sonoma),Expected Performer,-0.08658016514223511,146.0,378.0,Differentiated
Maxwell Unified (Colusa),Expected Performer,-0.08699021775950436,70.0,90.0,Differentiated
McKinleyville Union Elementary (Humboldt),Expected Performer,-0.08744146962367533,117.5,244.0,Differentiated
McSwain Union Elementary (Merced),Expected Performer,-0.0877255547193204,92.0,143.0,General
East Side Union High (Santa Clara),Mixed/Volatile Results,-0.0897680863602987,178.0,497.0,Differentiated
Del Norte County Unified (Del Norte),Expected Performer,-0.09605894240657663,118.5,288.0,Differentiated
Loomis Union Elementary (Placer),Expected Performer,-0.11995928613486705,79.0,107.0,General
Conejo Valley Unified (Ventura),Expected Performer,-0.12272373351292798,78.5,109.0,Differentiated
Bear Valley Unified (San Bernardino),Expected Performer,-0.12398394568053997,93.0,184.0,Differentiated
El Segundo Unified (Los Angeles),Expected Performer,-0.12542534022111798,67.0,83.0,General
Alvord Unified (Riverside),Expected Performer,-0.13225558048050962,67.5,70.0,Differentiated
Walnut Creek Elementary (Contra Costa),Expected Performer,-0.14243003524976672,106.5,250.0,Differentiated
Stanislaus Union Elementary (Stanislaus),Expected Performer,-0.14367579084260657,92.5,187.0,Differentiated
Solvang Elementary (Santa Barbara),Expected Performer,-0.14854008151518572,121.5,250.0,Differentiated
Pleasanton Unified (Alameda),Expected Performer,-0.15733331910943696,90.0,174.0,Differentiated
Chowchilla Union High (Madera),Mixed/Volatile Results,-0.1578069505798518,216.0,510.0,Differentiated
Redondo Beach Unified (Los Angeles),Expected Performer,-0.16520454225364833,76.0,113.0,General
Miller Creek Elementary (Marin),Expected Performer,-0.16805537262484715,88.0,129.0,Differentiated
Empire Union Elementary (Stanislaus),Expected Performer,-0.16831350956131616,61.5,44.0,Differentiated
Bishop Unified (Inyo),Expected Performer,-0.1730179611109759,116.0,269.0,Differentiated
King City Union (Monterey),Expected Performer,-0.17387127268718466,121.0,275.0,Differentiated
Escondido Union High (San Diego),Mixed/Volatile Results,-0.17608649283230912,212.0,520.0,General
Fontana Unified (San Bernardino),Expected Performer,-0.17739050526510994,109.5,230.0,Differentiated
Keyes Union (Stanislaus),Expected Performer,-0.17771317248813165,90.0,154.0,Differentiated
Porterville Unified (Tulare),Expected Performer,-0.17810307168351774,62.0,49.0,Differentiated
Dry Creek Joint Elementary (Placer),Expected Performer,-0.18063041713917885,72.0,105.0,General
Placerville Union Elementary (El Dorado),Expected Performer,-0.18292407627370988,67.0,61.0,Differentiated
Marysville Joint Unified (Yuba),Expected Performer,-0.1854949348748441,77.5,111.0,Differentiated
Corning Union High (Tehama),Expected Performer,-0.18568106648887586,123.5,317.0,Differentiated
Tulare City (Tulare),Expected Performer,-0.1875692724980519,87.5,145.0,Differentiated
Ross Valley Elementary (Marin),Expected Performer,-0.18856688173590744,82.0,107.0,Differentiated
Yreka Union Elementary (Siskiyou),Expected Performer,-0.1943901357780201,148.0,365.0,Differentiated
Hughson Unified (Stanislaus),Expected Performer,-0.19887682422580735,95.0,173.0,Differentiated
Golden Valley Unified (Madera),Expected Performer,-0.2002784376455522,95.5,160.0,Differentiated
Alpine Union Elementary (San Diego),Expected Performer,-0.20094235196128338,103.0,200.0,Differentiated
Modesto City High (Stanislaus),Mixed/Volatile Results,-0.20265085791298185,158.5,444.0,Differentiated
Parlier Unified (Fresno),Expected Performer,-0.20412608673349283,109.0,243.0,Differentiated
Livingston Union (Merced),Expected Performer,-0.20924853938146804,90.0,156.0,General
Lakeside Union Elementary (San Diego),Expected Performer,-0.21306385002116734,78.0,118.0,Differentiated
Paso Robles Joint Unified (San Luis Obispo),Expected Performer,-0.21459675307821469,86.0,153.0,Differentiated
Junction Elementary (Shasta),Expected Performer,-0.22185572880006796,117.0,280.0,General
Placer Hills Union Elementary (Placer),Mixed/Volatile Results,-0.22563506900743896,157.0,438.0,General
Paradise Unified (Butte),Expected Performer,-0.22803303542452785,132.0,336.0,Differentiated
Turlock Unified (Stanislaus),Expected Performer,-0.23309282785186447,85.0,139.0,Differentiated
Hilmar Unified (Merced),Expected Performer,-0.2335008369580824,66.0,60.0,General
Brisbane Elementary (San Mateo),Expected Performer,-0.23826297060170948,124.5,303.0,General
Cajon Valley Union (San Diego),Expected Performer,-0.2504741373189854,100.0,197.0,Differentiated
Reed Union Elementary (Marin),Expected Performer,-0.25111531379999696,89.0,145.0,General
Bass Lake Joint Union Elementary (Madera),Expected Performer,-0.2521197857966655,89.0,183.0,Differentiated
Byron Union Elementary (Contra Costa),Expected Performer,-0.25351546272060493,80.5,132.0,Differentiated
Perris Union High (Riverside),Expected Performer,-0.26341388468411403,151.0,333.0,Differentiated
Los Gatos Union Elementary (Santa Clara),Expected Performer,-0.2682007346332802,95.5,202.0,General
Rialto Unified (San Bernardino),Expected Performer,-0.2715391297350861,96.5,170.0,Differentiated
Wiseburn Unified (Los Angeles),Expected Performer,-0.2763585688104168,96.5,165.0,Differentiated
Placer Union High (Placer),Mixed/Volatile Results,-0.28027974880920353,160.0,455.0,Differentiated
San Mateo-Foster City (San Mateo),Expected Performer,-0.2809717373510039,89.5,149.0,Differentiated
Oceanside Unified (San Diego),Expected Performer,-0.28286788701585625,76.5,133.0,Differentiated
El Dorado Union High (El Dorado),Expected Performer,-0.2922421121018958,137.0,350.0,Differentiated
San Bernardino City Unified (San Bernardino),Expected Performer,-0.3000488059897617,85.0,161.0,Differentiated
San Marcos Unified (San Diego),Expected Performer,-0.30057374888776806,59.0,60.0,Differentiated
Merced City Elementary (Merced),Expected Performer,-0.30230065095353775,67.5,53.0,Differentiated
Salida Union Elementary (Stanislaus),Expected Performer,-0.3031713621902868,107.5,248.0,General
Carpinteria Unified (Santa Barbara),Expected Performer,-0.30562121830496336,94.0,197.0,Differentiated
Fairfax Elementary (Kern),Expected Performer,-0.3059171027903345,68.5,94.0,Differentiated
Corning Union Elementary (Tehama),Mixed/Volatile Results,-0.31099203526191954,161.0,450.0,General
Los Gatos-Saratoga Union High (Santa Clara),Expected Performer,-0.3159104118664527,135.5,356.0,General
Modesto City Elementary (Stanislaus),Expected Performer,-0.31664392510407247,86.5,155.0,Differentiated
Acalanes Union High (Contra Costa),Expected Performer,-0.31767412158935665,118.5,292.0,General
Merced Union High (Merced),Expected Performer,-0.3191416911844901,148.5,345.0,Differentiated
Plumas Lake Elementary (Yuba),Expected Performer,-0.3293283949485469,79.5,131.0,General
Oxnard (Ventura),Expected Performer,-0.33589507974971167,64.5,52.0,General
Norris Elementary (Kern),Expected Performer,-0.33716293519068147,87.0,144.0,General
Kernville Union Elementary (Kern),Expected Performer,-0.3426004980467307,97.5,216.0,Differentiated
Santa Paula Unified (Ventura),Expected Performer,-0.34450321970351094,91.5,169.0,Differentiated
Soledad Unified (Monterey),Expected Performer,-0.3466341634481913,86.5,172.0,Differentiated
Chowchilla Elementary (Madera),Expected Performer,-0.3516409822039724,124.5,315.0,Differentiated
San Rafael City High (Marin),Mixed/Volatile Results,-0.35563933958078825,174.5,480.0,Differentiated
Farmersville Unified (Tulare),Expected Performer,-0.3573747802420985,75.0,117.0,Differentiated
Lammersville Joint Unified (San Joaquin),Expected Performer,-0.3580694648054823,64.5,73.0,Differentiated
Dublin Unified (Alameda),Expected Performer,-0.3655979121329372,99.5,187.0,Differentiated
Washington Unified (Fresno),Expected Performer,-0.37035036191959747,69.5,91.0,Differentiated
San Rafael City Elementary (Marin),Expected Performer,-0.3728933864808534,86.5,160.0,Differentiated
Nevada City Elementary (Nevada),Mixed/Volatile Results,-0.37733529078580025,166.5,430.0,Differentiated
Orcutt Union Elementary (Santa Barbara),Expected Performer,-0.3793181569947623,86.0,144.0,Differentiated
Burbank Unified (Los Angeles),Expected Performer,-0.37971409491138153,62.0,35.0,Differentiated
Centinela Valley Union High (Los Angeles),Mixed/Volatile Results,-0.3798999370995684,183.5,506.0,Differentiated
Azusa Unified (Los Angeles),Expected Performer,-0.3936637493900566,81.0,142.0,Differentiated
Oak Grove Elementary (Santa Clara),Expected Performer,-0.3977866800904361,107.5,253.0,General
Biggs Unified (Butte),Expected Performer,-0.40542793732985966,146.0,393.0,Differentiated
Curtis Creek Elementary (Tuolumne),Expected Performer,-0.40556730216637454,97.0,189.0,Differentiated
Beardsley Elementary (Kern),Expected Performer,-0.40596215209295716,64.5,80.0,Differentiated
South Bay Union (San Diego),Expected Performer,-0.414654262297314,64.0,56.0,Differentiated
Southern Humboldt Joint Unified (Humboldt),Expected Performer,-0.4175793301720815,144.0,337.0,General
Strathmore Union Elementary (Tulare),Expected Performer,-0.42051748450039655,79.5,140.0,Differentiated
Alpaugh Unified (Tulare),Expected Performer,-0.4277135457921663,128.5,283.0,General
Carmel Unified (Monterey),Expected Performer,-0.4302685960423913,56.5,39.0,General
Twin Rivers Unified (Sacramento),Expected Performer,-0.4354806363534656,80.0,163.0,Differentiated
Morongo Unified (San Bernardino),Expected Performer,-0.4451930708179888,75.0,119.0,Differentiated
Culver City Unified (Los Angeles),Expected Performer,-0.44770607234312804,91.0,204.0,Differentiated
Mark West Union Elementary (Sonoma),Expected Performer,-0.45277842978072924,133.5,355.0,Differentiated
Auburn Union Elementary (Placer),Expected Performer,-0.4690079959835586,91.5,166.0,Differentiated
Lake Elsinore Unified (Riverside),Expected Performer,-0.4771979716864668,68.5,103.0,Differentiated
Tracy Joint Unified (San Joaquin),Expected Performer,-0.4772996646338373,66.0,69.0,Differentiated
Rosedale Union Elementary (Kern),Expected Performer,-0.4785185923637572,91.5,148.0,Differentiated
Yreka Union High (Siskiyou),Mixed/Volatile Results,-0.4838216798558176,154.0,405.0,Differentiated
Franklin-McKinley Elementary (Santa Clara),Expected Performer,-0.48647166989199064,77.5,112.0,Differentiated
Las Virgenes Unified (Los Angeles),Expected Performer,-0.4875247829236418,93.5,168.0,General
Escondido Union (San Diego),Expected Performer,-0.4887401448744604,79.5,123.0,Differentiated
San Jacinto Unified (Riverside),Expected Performer,-0.49243239476510225,69.0,76.0,Differentiated
Sacramento City Unified (Sacramento),Expected Performer,-0.4935118350852141,83.0,160.0,Differentiated
Robla Elementary (Sacramento),Moderate Underperformer,-0.5085537456935629,117.0,290.0,Differentiated
Foresthill Union Elementary (Placer),Moderate Underperformer,-0.509971571300773,90.5,155.0,Differentiated
Richgrove Elementary (Tulare),Moderate Underperformer,-0.5160894291887271,118.5,289.0,General
Sierra Unified (Fresno),Moderate Underperformer,-0.51663795441315,62.5,70.0,Differentiated
Earlimart Elementary (Tulare),Moderate Underperformer,-0.5171367993616705,75.5,140.0,General
Santa Maria Joint Union High (Santa Barbara),Mixed/Volatile Results,-0.5176239330986103,161.0,452.0,Differentiated
Lamont Elementary (Kern),Moderate Underperformer,-0.5200315828083514,63.0,61.0,Differentiated
Sierra-Plumas Joint Unified (Sierra),Moderate Underperformer,-0.5200545972988901,118.0,271.0,Differentiated
Santa Ynez Valley Union High (Santa Barbara),Moderate Underperformer,-0.5206194999850229,127.5,318.0,General
Durham Unified (Butte),Moderate Underperformer,-0.5221272967809213,67.5,77.0,Differentiated
Grass Valley Elementary (Nevada),Moderate Underperformer,-0.5238817547474037,110.5,254.0,General
Moreno Valley Unified (Riverside),Moderate Underperformer,-0.5254887111450836,57.0,38.0,Differentiated
Stockton Unified (San Joaquin),Moderate Underperformer,-0.5324547370295502,93.5,163.0,Differentiated
Tahoe-Truckee Unified (Placer),Moderate Underperformer,-0.5401962560012894,90.5,180.0,Differentiated
San Francisco Unified (San Francisco),Moderate Underperformer,-0.5476710249852912,66.5,85.0,Differentiated
Mammoth Unified (Mono),Moderate Underperformer,-0.5523734595623992,95.5,212.0,Differentiated
Rockford Elementary (Tulare),Moderate Underperformer,-0.5581368415215423,92.0,170.0,General
Los Banos Unified (Merced),Moderate Underperformer,-0.561505848895138,91.0,181.0,Differentiated
Mountain View Elementary (San Bernardino),Moderate Underperformer,-0.5638638918863459,54.5,38.0,Differentiated
Black Oak Mine Unified (El Dorado),Moderate Underperformer,-0.567302377257037,101.5,189.0,Differentiated
Hemet Unified (Riverside),Moderate Underperformer,-0.5676294435555039,59.5,48.0,Differentiated
Lake Tahoe Unified (El Dorado),Moderate Underperformer,-0.569760315770894,89.0,183.0,Differentiated
Sebastopol Union Elementary (Sonoma),Moderate Underperformer,-0.581477869381905,104.0,196.0,General
Ramona City Unified (San Diego),Moderate Underperformer,-0.5918507495030805,84.0,140.0,Differentiated
Gonzales Unified (Monterey),Moderate Underperformer,-0.5933561273672566,66.5,93.0,Differentiated
Escalon Unified (San Joaquin),Moderate Underperformer,-0.5949244204335271,107.0,228.0,Differentiated
Guadalupe Union Elementary (Santa Barbara),Moderate Underperformer,-0.5960278494864393,77.5,126.0,Differentiated
Romoland Elementary (Riverside),Moderate Underperformer,-0.6042337825050957,65.0,75.0,Differentiated
Chawanakee Unified (Madera),Moderate Underperformer,-0.6079821485543107,73.0,110.0,Differentiated
San Pasqual Union Elementary (San Diego),Moderate Underperformer,-0.614434364089714,85.5,163.0,General
Modoc Joint Unified (Modoc),Moderate Underperformer,-0.6205471021994139,74.5,116.0,Differentiated
Snowline Joint Unified (San Bernardino),Moderate Underperformer,-0.6252168025075895,91.5,213.0,Differentiated
Anaheim Elementary (Orange),Moderate Underperformer,-0.6389075228914661,77.5,116.0,General
Washington Unified (Yolo),Moderate Underperformer,-0.6403697918028489,70.0,108.0,Differentiated
Berryessa Union Elementary (Santa Clara),Moderate Underperformer,-0.6437612169560292,74.5,120.0,Differentiated
Live Oak Elementary (Santa Cruz),Moderate Underperformer,-0.6548865808754223,66.0,90.0,Differentiated
Hamilton Unified (Glenn),Moderate Underperformer,-0.6569983294165394,101.5,262.0,Differentiated
Perris Elementary (Riverside),Moderate Underperformer,-0.657684916531606,51.5,45.0,Differentiated
Roseville Joint Union High (Placer),Moderate Underperformer,-0.6634423077987072,123.5,281.0,Differentiated
Reef-Sunset Unified (Kings),Moderate Underperformer,-0.6655922917457241,86.5,148.0,Differentiated
Mariposa County Unified (Mariposa),Moderate Underperformer,-0.6668134515209444,46.0,18.0,Differentiated
Oakland Unified (Alameda),Moderate Underperformer,-0.6700782160737783,95.5,240.0,Differentiated
Brentwood Union (Contra Costa),Moderate Underperformer,-0.6712735546344706,76.0,152.0,Differentiated
San Leandro Unified (Alameda),Moderate Underperformer,-0.6783169084152944,80.5,157.0,Differentiated
Summerville Elementary (Tuolumne),Moderate Underperformer,-0.6787413189875524,125.5,333.0,Differentiated
Madera Unified (Madera),Moderate Underperformer,-0.680260980764306,64.5,78.0,Differentiated
Waugh Elementary (Sonoma),Moderate Underperformer,-0.6898772214969873,63.0,92.0,Differentiated
South San Francisco Unified (San Mateo),Moderate Underperformer,-0.7095014379944607,62.0,93.0,Differentiated
Palo Verde Unified (Riverside),Moderate Underperformer,-0.7118787217846043,83.5,189.0,Differentiated
Helendale Elementary (San Bernardino),Moderate Underperformer,-0.7148368927750715,86.0,180.0,Differentiated
Hollister (San Benito),Moderate Underperformer,-0.7194143131312324,105.0,233.0,Differentiated
Woodland Joint Unified (Yolo),Moderate Underperformer,-0.7337764247219557,59.5,75.0,Differentiated
Yucaipa-Calimesa Joint Unified (San Bernardino),Moderate Underperformer,-0.7350024593844153,68.5,104.0,Differentiated
Edison Elementary (Kern),Moderate Underperformer,-0.7375123853565446,81.0,181.0,Differentiated
Santa Clara Unified (Santa Clara),Moderate Underperformer,-0.739761446354813,53.5,54.0,Differentiated
Ukiah Unified (Mendocino),Moderate Underperformer,-0.74196771184637,78.5,170.0,Differentiated
Red Bluff Union Elementary (Tehama),Moderate Underperformer,-0.7495800245276028,126.0,332.0,Differentiated
Santa Cruz City High (Santa Cruz),Moderate Underperformer,-0.7507106966962389,103.5,238.0,Differentiated
Livermore Valley Joint Unified (Alameda),Moderate Underperformer,-0.7632167640662423,74.5,140.0,Differentiated
Moorpark Unified (Ventura),Moderate Underperformer,-0.7662041067167099,79.5,164.0,Differentiated
Plumas Unified (Plumas),Moderate Underperformer,-0.7729685373444055,54.0,56.0,Differentiated
Columbia Elementary (Shasta),Moderate Underperformer,-0.7744933285170219,116.0,318.0,Differentiated
Standard Elementary (Kern),Moderate Underperformer,-0.7747380515177907,69.0,112.0,Differentiated
Colton Joint Unified (San Bernardino),Moderate Underperformer,-0.7888075664561663,87.0,193.0,Differentiated
Dos Palos Oro Loma Joint Unified (Merced),Moderate Underperformer,-0.7946669965728529,97.5,238.0,Differentiated
Scotts Valley Unified (Santa Cruz),Moderate Underperformer,-0.7946845315703758,71.5,131.0,General
Coachella Valley Unified (Riverside),Moderate Underperformer,-0.7949143137248316,66.0,111.0,Differentiated
Simi Valley Unified (Ventura),Moderate Underperformer,-0.8011279541138491,47.5,29.0,Differentiated
Ventura Unified (Ventura),Moderate Underperformer,-0.8061771896219595,45.5,24.0,Differentiated
Petaluma City Elementary (Sonoma),Moderate Underperformer,-0.8063778082741035,80.5,150.0,Differentiated
Banning Unified (Riverside),Moderate Underperformer,-0.8074594976501392,75.5,154.0,Differentiated
Mark Twain Union Elementary (Calaveras),Moderate Underperformer,-0.8233162897894151,97.0,252.0,Differentiated
New Haven Unified (Alameda),Moderate Underperformer,-0.826252350636865,51.5,46.0,Differentiated
Shoreline Unified (Marin),Moderate Underperformer,-0.8359778441896983,83.5,184.0,Differentiated
Pollock Pines Elementary (El Dorado),Moderate Underperformer,-0.8361615827017906,54.0,58.0,Differentiated
Sierra Sands Unified (Kern),Moderate Underperformer,-0.8473226877739407,80.5,198.0,Differentiated
Center Joint Unified (Sacramento),Moderate Underperformer,-0.8473556724217447,57.5,71.0,Differentiated
Briggs Elementary (Ventura),Moderate Underperformer,-0.8496132090508914,67.0,118.0,Differentiated
Burton Elementary (Tulare),Moderate Underperformer,-0.8508916815985214,109.0,294.0,Differentiated
Novato Unified (Marin),Moderate Underperformer,-0.854446884730594,62.5,100.0,Differentiated
Petaluma Joint Union High (Sonoma),Moderate Underperformer,-0.8601757375958469,75.5,117.0,Differentiated
Saint Helena Unified (Napa),Moderate Underperformer,-0.8617263166861457,70.5,138.0,Differentiated
San Benito High (San Benito),Mixed/Volatile Results,-0.8653370051374887,162.5,452.0,Differentiated
Gold Trail Union Elementary (El Dorado),Moderate Underperformer,-0.8687961753998413,58.0,71.0,General
Rio Elementary (Ventura),Moderate Underperformer,-0.8816586414867528,62.5,79.0,Differentiated
Inglewood Unified (Los Angeles),Moderate Underperformer,-0.8817399840859523,62.0,97.0,Differentiated
Monterey Peninsula Unified (Monterey),Moderate Underperformer,-0.8882147585332861,60.5,91.0,Differentiated
Martinez Unified (Contra Costa),Moderate Underperformer,-0.8884646909222234,62.0,88.0,General
Williams Unified (Colusa),Moderate Underperformer,-0.9053975040456878,77.5,143.0,Differentiated
Bakersfield City (Kern),Moderate Underperformer,-0.9104176518622497,63.0,94.0,Differentiated
Lompoc Unified (Santa Barbara),Moderate Underperformer,-0.9146176652094271,64.5,125.0,Differentiated
Santa Maria-Bonita (Santa Barbara),Moderate Underperformer,-0.9266011161236105,69.5,137.0,Differentiated
Alisal Union (Monterey),Moderate Underperformer,-0.9515222453772813,55.0,71.0,General
San Juan Unified (Sacramento),Moderate Underperformer,-0.9519165350676556,48.5,55.0,Differentiated
Manteca Unified (San Joaquin),Moderate Underperformer,-0.9535231448027739,64.5,112.0,Differentiated
Santa Rosa High (Sonoma),Moderate Underperformer,-0.9653279191860616,54.0,71.0,Differentiated
San Bruno Park Elementary (San Mateo),Moderate Underperformer,-0.9664353659078179,71.5,160.0,Differentiated
Greenfield Union Elementary (Monterey),Moderate Underperformer,-0.9686001368728979,69.5,143.0,Differentiated
Fillmore Unified (Ventura),Moderate Underperformer,-0.9778680796425746,45.5,44.0,General
Victor Elementary (San Bernardino),Moderate Underperformer,-0.9817556796906515,83.5,178.0,Differentiated
Palm Springs Unified (Riverside),Moderate Underperformer,-0.9835090405405281,50.5,63.0,Differentiated
Aromas - San Juan Unified (San Benito),Moderate Underperformer,-0.9947757385061095,75.5,156.0,Differentiated
Yosemite Unified (Madera),Moderate Underperformer,-1.0010744176697566,63.5,104.0,Differentiated
Alum Rock Union Elementary (Santa Clara),Moderate Underperformer,-1.0088161356107015,79.0,173.0,Differentiated
Salinas Union High (Monterey),Moderate Underperformer,-1.0138875517182462,84.5,219.0,Differentiated
Pacifica (San Mateo),Moderate Underperformer,-1.0219786261118036,72.0,136.0,Differentiated
Bayshore Elementary (San Mateo),Moderate Underperformer,-1.0299878806243097,65.0,136.0,Differentiated
Tulelake Basin Joint Unified (Modoc),Moderate Underperformer,-1.0314956068263639,67.0,148.0,General
Fairfield-Suisun Unified (Solano),Moderate Underperformer,-1.0332801659991484,59.0,99.0,Differentiated
Cotati-Rohnert Park Unified (Sonoma),Moderate Underperformer,-1.0399196128648813,53.5,74.0,Differentiated
San Jose Unified (Santa Clara),Moderate Underperformer,-1.0410561238226936,66.0,121.0,Differentiated
Klamath-Trinity Joint Unified (Humboldt),Moderate Underperformer,-1.044506735281209,63.5,133.0,Differentiated
Oxnard Union High (Ventura),Moderate Underperformer,-1.0516956245775426,90.5,193.0,Differentiated
Gustine Unified (Merced),Moderate Underperformer,-1.056486406605458,58.5,107.0,General
Travis Unified (Solano),Moderate Underperformer,-1.0604500264274168,45.5,54.0,Differentiated
Benicia Unified (Solano),Moderate Underperformer,-1.0634748775506302,83.5,177.0,Differentiated
Coalinga-Huron Unified (Fresno),Moderate Underperformer,-1.0713208852549092,80.0,203.0,Differentiated
Westside Union Elementary (Los Angeles),Moderate Underperformer,-1.071384292470142,47.0,58.0,Differentiated
Jurupa Unified (Riverside),Moderate Underperformer,-1.0830467933196783,65.5,147.0,Differentiated
Esparto Unified (Yolo),Moderate Underperformer,-1.0982503466780693,81.5,227.0,Differentiated
